code_s,name_s,url_s
simple_python,Python in Pieces: Explore text outputs and print statements,https://pythoninpieces.com/app/pip/pip_freebie
3dbear_mars,The Mars Pioneers,https://www.thingiverse.com/thing:3084537
ai4all,AI & Drawing,https://drive.google.com/drive/folders/16rhAyfcinq7w535ul4fiiK1oJO9JexOp?usp=sharing
ai4all_dance,AI4ALL: AI & Dance,https://drive.google.com/drive/folders/14wUScja5RpQAwOrxM7HgWnyrYES5-vnJ
ai4all_neural,How Convolutional Neural Networks Work,https://drive.google.com/drive/folders/1R1PD4QHFEJnhVTLNx1JVZgsMdpSGDYiv
alice_sims,Storyboarding and Programming with Alice and The Sims,http://www.alice.org/hourofcode/alice3.html
alice_garfield,Animating with Alice and Garfield,http://www.alice.org/hourofcode/alice2.html
allcancode,Run Marco!,https://www.allcancode.com/web/hourofcode  
codejumper,Networks: Messages of Kindness,https://www.dropbox.com/scl/fi/n5m5gad0lvye4n1twik3h/2020-Educator-Hour-of-Code-Code-Jumper.docx?dl=0&rlkey=ek4flmy8x5je2dou1y02veutt
tinkercad_icicles,Designing Icicles With Codeblocks in Tinkercad,https://www.instructables.com/id/Designing-Icicles-With-Codeblocks-in-Tinkercad
tinkercad_loops,Using Loops in Tinkercad to Design a Bursting Star,https://www.instructables.com/id/Using-Loops-in-Tinkercad-to-Design-a-Bursting-Star
barobo_moon,Moon Base SOS with Arduino,https://roboblocky.com/curriculum/hourofcode/arduino/
barobo_obstacle,Linkbot Obstacle Course,https://roboblocky.com/curriculum/hourofcode/obstaclecourse/
barobo_rav,Robot Autonomous Vehicle,https://roboblocky.com/curriculum/hourofcode/rav/
beetik_liszt,Code the Music of Franz Liszt,http://beetik.net/rhapsody?lang=en&level=1
bekids_adventure,Creative Coding Adventures,https://bekids.com/hoc/
bbt_ai,AI for All,https://learn.birdbraintechnologies.com/artificial-intelligence/ai-for-all/
bitsbox,Build Crazy Apps with Bitsbox,https://bitsbox.com/hoc2016.html
bitsbox_yak,Yak Attack! Make a Card with Typed Code,https://www.dropbox.com/s/010xlwr6wwkjznf/Bitsbox_HOC2018_Yak-Attack_01.pdf?dl=0
bitsbox_geo,Bitsbox Coding + Geometry,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Geometry.pdf
bitsbox_chem,Bitsbox Coding + Chemistry,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Chemistry.pdf
bitsbox_la,Bitsbox Coding + Language Arts,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_LanguageArts.pdf
bitsbox_sci,Bitsbox Coding + Science,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Science.pdf
bitsbox_art,Bitsbox Coding + Art,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_VisualArts.pdf
bitsbox_math_k-2,Bitsbox Coding + Math (K-2),https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Math.pdf
bitsbox_physics,Bitsbox Coding + Physics,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Physics.pdf
bitsbox_bio,Bitsbox Coding + Biology,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Biology.pdf
bitsbox_music,Bitsbox Coding + Music,https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Music.pdf
bitsbox_math_3-5,Bitsbox Coding + Math (3-5),https://bitsbox.com/pdf/hoc2015/BitsboxLessonPlan2015_Math3-5.pdf
bb_busybot,BusyBot!,https://app.blackbirdcode.com/intro.php?type=stage&id=5000
bb_stopwatch,Stopwatch Builder,https://app.blackbirdcode.com/hoc.php?curriculum_id=11
blackbird_tether,Tetherball,https://app.blackbirdcode.com/hoc.php?curriculum_id=5
bb_sierpinski,Sierpinski Triangle: Make Art with Math!,https://app.blackbirdcode.com/intro.php?type=stage&id=2000
