state_code_s!,cs_jobs_i,growth_vs_average_f,cs_graduates_i,count_schools_teach_cs_i,petition_url_t,customized_text_s,job_student_gap_i,takeaction_url_s,takeaction_text_t,make_cs_count_text_t
AK,634,2.3,20,5,,N,-614,,,"Computer science only counts as an elective in Alaska. To make it count as a mathematics or science credit towards graduation, Alaska needs to clarify its regulations and clearly state that computer science can count!"
AL,3754,3.4,541,26,,N,-3213,,,
AR,2223,4.2,525,19,http://www.change.org/petitions/arkansas-state-board-of-education-please-help-us-make-computer-science-satisfy-existing-high-school-graduation-requirements-for-math-or-science,N,-1698,,,"Computer science only counts as an elective in Arkansas. To make it count as a mathematics or science credit towards graduation, Arkansas needs to clarify its regulations and clearly state that computer science can count!"
AZ,10674,3.7,336,33,,N,-10338,,,
CA,75214,4.2,4324,311,https://www.change.org/petitions/make-computer-science-count-for-college-admission-in-california-2,N,-70890,http://www.congressweb.com/Code/7,"Computer science is driving economic innovation and social change at a lightning pace. More than half of projected jobs in STEM ﬁelds are in computing occupations. Despite this, 90 percent of our K-12 schools don't even offer computer science – denying access to this critical knowledge, particularly among underrepresented groups.<br/><br/>California is one of 28 states where students can't count computer science for high school graduation credit. Now there's a chance to catch up. The California State Legislature is currently considering a policy that would allow high school students who take an advanced computer science course to count it as a math or science credit. The important bill will expand access to computer science throughout the state. If it doesn't pass, students who study it won't get proper graduation credit for their effort.
",
CO,14827,3,717,69,https://www.change.org/petitions/colorado-state-board-of-education-and-colorado-school-districts-make-computer-science-courses-count-toward-graduation-credits,N,-14110,,,
CT,8859,4.6,389,65,https://www.change.org/petitions/connecticut-state-department-of-education-please-help-us-make-computer-science-satisfy-existing-high-school-graduation-requirements-for-math-or-science,N,-8470,,,"Computer science only counts as an elective in Connecticut. To make it count as a mathematics or science credit towards graduation, Connecticut needs to enact a policy that clearly states computer science can count! "
DC,9804,4.3,208,12,,N,-9596,,,
DE,3190,5.7,276,11,,N,-2914,,,"Computer science only counts as an elective in Delaware. To make it count towards graduation, Delaware needs to clarify its administrative code to allow computer science to fit under the definition of mathematics. "
FL,19829,3.4,1833,125,,N,-17996,,,
GA,20917,4.9,1623,133,https://www.change.org/petitions/georgia-higher-education-alliance-make-computer-science-courses-count-toward-graduation-credits,N,-19294,,,
HI,1276,4,138,8,,N,-1138,,,"Computer science only counts as an elective in Hawaii. To make it towards graduation, Hawaii needs to enact a policy to allow it to count towards math or science requirements! "
