name_s,title_s,quote_t,image_url_s,tag_s*
Joanna Shields,"OBE Chairman, Tech City UK and UK Ambassador for Digital Industries","""The way we work, live and experience the world is changing. Digital tools are helping everyone, not just engineers and computer scientists, to create exciting new experiences, products and services. If we want our kids to be more than just passive consumers - if we want them to become a generation of creators and makers - we need to teach them about the building blocks of today's world, and I can't imagine a better way to start than the Hour of Code.” ",/images/people/joanna-shields.jpg,promote
Boris Johnson,Mayor of London,"""I want London to be at the forefront of the technology sector, so it’s vital our youngsters are equipped with the skills they'll need to compete at the very highest levels on the global stage. My London Schools Excellence Fund is supporting a range of projects aimed at raising standards across the capital and I wholeheartedly welcome initiatives like the Hour of Code, which will help even more schoolchildren to get to grips with some of the basics. I urge all London schools to take part on 3 March.""",/images/people/boris-johnson.jpg,promote
Baroness Martha Lane Fox,"Founder, Lastminute.com","""Hour of code is fantastic. Yes, The uk needs many more technical skills but more than that learning to code can help unleash the next generation of creativity.""",/images/people/martha-lane-fox.jpg,promote
Michael Smith,"Founder, Moshi Monsters","""Learning to code is not only fun, challenging and mind expanding for kids, it's equipping our next generation with one of the most important tools of the 21st century""",/images/people/michael-smith.jpg,promote
Mark Zuckerberg,"Founder, Facebook",“Our policy at Facebook is literally to hire as many talented engineers as we can find. There just aren't enough people who are trained and have these skills today.“,/images/people/mark-zuckerberg.jpg,promote
will.i.am,Musician/The Black Eyed Peas and Entrepreneur,"“Here we are, 2013, we ALL depend on technology to communicate, to bank, and none of us know how to read and write code. It's important for these kids, right now, starting at 8 years old, to read and write code.“",/images/people/william.jpg,promote
Tim Berners Lee,"Inventor, World Wide Web","""I'm so excited to see the launch of Hour of Code in the UK, in this, the Web's 25th birthday year. Learning to code gives you a completely new perspective when you look at a computer. Before, you think of it as an appliance -- like a fridge -- accepting what it can do.  After, you know that you can code that computer to do anything you can imagine it doing.  That's a massive change ... and a massive challenge!""",/images/people/tim-berners-lee.jpg,promote
Ian Livingstone,"Founder, Games Workshop","""Our world has become exponentially reliant on technology. It is vital that children learn how to become creators, not just consumers of digital technology.  It is the difference between reading and writing. Code powers innovation and creativity. Coding is no longer a marginal skill for geeks. From making games, to fighting cybercrime, to designing a jet propulsion engine, computing is essential knowledge. Learning to code will enable children to become problem-solvers and digital-makers for jobs that don’t yet exist.""",/images/people/ian-livingstone.jpg,promote
Richard Branson,"Founder, Virgin Group","“Whether we're fighting climate change or going to space, everything is moved forward by computers, and we don't have enough people who can code. Teaching young people to code early on can help build skills and confidence and energize the classroom with learning-by-doing opportunities. I learned how to fly a hot air balloon when I was 30,000 feet up and my life was in the balance: you can learn skills at any age but why wait when we can teach everyone to code now!“",/images/people/richard-branson.jpg,promote
Sherry Coutu,"CBE Chairman, Founders4Schools","""Our progress can be charted through people wanting to create a better future and feeling empowered to do so.  In the past that was fuelled by learning to read and write and add things up - whether at school, the home or both. Nowadays, we will need to understand basic problem solving that comes from understanding coding and how it works. The hour of code is an important mission to help everyone who would like to understand more about how the tech behind our modern lives works and to understand how it can help them achieve greater impact.  I sometimes describe it to my kids as giving us 'magical powers', which I think we can all use.”",/images/people/sherry-coutu.jpg,promote
Sheryl Sandberg,"Chief Operating Officer, Facebook",“An understanding of computer science is becoming increasingly essential in today’s world. Our national competitiveness depends upon our ability to educate our children – and that includes our girls – in this critical field.“,/images/people/sheryl-sandberg.jpg,promote
Ashton Kutcher,Actor,"“I'd like to advocate for computer coding to be an institution in the public school systems right next to biology, chemistry, physics, etc. If we want to spur job growth in the US we have to educate ourselves in the disciplines where jobs are available and where economic growth is feasible.“",/images/people/ashton-kutcher.jpg,promote
President Bill Clinton,,"“At a time when people are saying ""I want a good job - I got out of college and I could’nt find one,"" every single year in America there is a standing demand for 120,000 people who are training in computer science.“",/images/people/bill-clinton.jpg,promote
Bill Gates,"Chairman, Microsoft","“Learning to write programs stretches your mind, and helps you think better, creates a way of thinking about things that I think is helpful in all domains.“",/images/people/bill-gates.jpg,promote
Arianna Huffington,"Founder, The Huffington Post",“Learning to code is useful no matter what your career ambitions are. “,/images/people/arianna-huffington.jpg,promote
Eric Schmidt,"Executive Chairman, Google","“For most people on Earth, the digital revolution hasn't even started yet. Within the next 10 years, all that will change. Let's get the whole world coding!“",/images/people/eric-schmidt.jpg,promote
Snoop Dogg,"Rapper, Singer-songwriter, and Actor",“support tha american dream n make coding available to EVERYONE!!“,/images/people/snoop-dogg.jpg,promote
Elizabeth Truss,Under-Secretary of State at the Department for Education,“It is vital our children have the skills they need to succeed in the modern-day world which is why we are scrapping the old curriculum and replacing it with a forward-thinking programme that will teach them how to make computers work for them. From September every student will be learning code in the classroom so the Hour of Code is a great way for young people to learn about this exciting new skill and get a headstart for the new school year.”,/images/people/elizabeth-truss.jpg,promote
Steven Hawking,"Theoretical Physicist, Cosmologist, and Author","“Whether you want to uncover the secrets of the universe, or you just want to pursue a career in the 21st century, basic computer programming is an essential skill to learn.“",/images/people/steven-hawking.jpg,promote
Jack Dorsey,"Creator, Twitter. Founder and CEO, Square","“I think that great programming is not all that dissimilar to great art. Once you start thinking in concepts of programming it makes you a better person...as does learning a foreign language, as does learning math, as does learning how to read.“",/images/people/jack-dorsey.jpg,promote
Drew Houston,"Founder & CEO, Dropbox","“Software touches all of these different things you use, and tech companies are revolutionizing all different areas of the world...from how we shop to how farming works, all these things that aren't technical are being turned upside down by software. So being able to play in that universe really makes a difference.“",/images/people/drew-houston.jpg,promote
Simon Peyton Jones,"Chairman, Computing At School","""With the advent in September of the new Computing curriculum, which includes computational thinking and computer science for the first time, the UK Hour of Code is perfectly timed as a springboard for children and their parents, by helping them to dip their toe in the water of this rich, fascinating new subject.""",/images/people/simon-peyton.jpg,promote
Meg Whitman,"President and CEO, Hewlett-Packard","“If you have a daughter, she should go be an engineer.“",/images/people/meg-whitman.jpg,promote
Susan Wojcicki,"Senior Vice President, Google","“Learning to code makes kids feel empowered, creative, and confident. If we want our young women to retain these traits into adulthood, a great option is to expose them to computer programming in their youth.“",/images/people/susan-wojcicki.jpg,promote
Phil Smith,CEO of Cisco UK & Ireland,"“In our increasingly digitally enabled society code builders become the architects of our future. What an opportunity for any young person to get on board and truly change the way we work, live, play and learn.""",/images/people/phil-smith.jpg,promote
Justine Roberts,"Chief Executive Officer, Mumsnet","""The internet is central to our lives, yet only a small minority of us understand how it works. Learning the language of code will be as important to children today as learning the three Rs - without that understanding, we are denying ourselves access to the most important creative tool at our disposal. That's why we're backing the UK Hour of Code.""",/images/people/justine-roberts.jpg,promote
Matthew Hancock,"Under-Secretary of State for Further Education, Skills and Lifelong Learning","""Young people have grown up surrounded by smartphones and tablets, and the perception that computers are just for geeks has been well and truly demolished. For them to be successful in the 21st century it is vital they are equipped with the right skills for the modern digital economy, and by teaching coding we will be giving  youngsters in this country an essential head-start.""",/images/people/matt-hancock.jpg,promote
Chuka Umunna,"Shadow Secretary of State for Business, Innovation and Skills","“An ability to code is fast becoming an essential skill in our increasingly digital economy, rather than just a ‘nice to have’. As well as unlocking opportunities in the jobs market, it opens doors for those who want to turn their ideas into the successful businesses of tomorrow or push the boundaries of the possible. We need to see as many people as possible learn to code. That’s why I would encourage anyone who hasn’t yet done so to take part in the Hour of Code – it’s a great place to begin your journey, and as to where it could take you, the sky is the limit.”
 ",/images/people/chuka-umunna.jpg,promote
