displayweight,displayweight_pre,displayweight_k5,displayweight_25,displayweight_middle,displayweight_high,popularityrank,code,name,orgname,url,shortdescription,longdescription,platformtext,gradelevel,image,tags,teachers_notes,language,languages_supported,short_code,tags_grade,string_detail_grades,tags_teacher_experience,tags_student_experience,tags_activity_type,tags_subject,tags_platform,string_platforms,string_detail_platforms,tags_length,tags_programming_language,string_detail_programming_languages,string_standards,
1550,1,1700,1700,1560,1550,2,moana,Moana: Wayfinding with Code,The Walt Disney Company,https://Disney.com/HourOfCode,"Moana is brave, fearless, and is determined to find her own path.","The new Disney Hour of Code tutorial uses a visual programming language using blocks where students simply drag and drop visual blocks to write code. Visual programming is a fun and easily understood way to teach the logic of coding. Exposure to visual programming lays the foundation for text-based programming, a more complex activity.  The tutorial is targeted for kids ages 8+ and those trying coding for the first time.  Available in 23 languages and localized outside of the United States.  This tutorial is available free online and includes a digital toolkit in English and Spanish for educators and event organizers. ","Modern browsers, smartphones, tablets.",Grades 2+,/images/tutorials/new/moana.jpg,2016-tutorial,http://cdnvideo.dolimg.com/cdn_assets/c2ce3a1ffc1fce4f01569cc7b916136ca7c723e1.pdf,"English, Arabic, Chinese (Simplified), Chinese (Traditional) Danish, Dutch, Finnish, French, German, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Polynesian (Samoan), Portuguese, Russian, Spanish, Swedish, Turkish, Ukrainian, Vietnamese","ar,zh-CN,zh-TW,da,nl,en,fi,fr,de,id,it,ja,ko,no,pl,pt-BR,pt-PT,ru,es,sv,tr,uk",moana,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad",,1hour,blocks,Blocks,,
1990,1,2000,2000,1980,1920,1,mc,Minecraft Hour of Code,"Mojang, Microsoft and Code.org",https://code.org/minecraft,Use blocks of code to take Alex or Steve on an adventure through this Minecraft world.,Use blocks of code to take Alex or Steve on an adventure through this Minecraft world.,"Modern browsers, smartphones, tablets.",Ages 6+,/images/tutorials/new/minecraft2016.png,"mc,2015-tutorial",https://code.org/hourofcode/mc,"English, Arabic, Bulgarian, Chinese, Croatian, Danish, Dutch, Finnish, French, German, Greek, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Persian, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Turkish, Ukrainian and 19 more","ar,bg,ca,cs,da,de,en,es,el,fa,fi,fr,hr,hu,is,id,it,ja,ko,lt,nl,nn,no,pl,pt,pt-br,pt-pt,ro,ru,sl,sv,tr,uk,zh,zh-tw,zh-cn",mchoc,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,"computers,android,ios,no-internet","All modern browsers, Android tablet, iPad, Android phone, iPhone",,1hour-follow,blocks,Blocks,,
1930,1,1920,1920,1560,1,17,scratch_music,Make Music with Scratch,Scratch,https://scratch.mit.edu/projects/editor/?tip_bar=music&utm_source=codeorg,"Choose musical instruments, add sounds, and press keys to play music.","With Scratch, you can create your own interactive games, stories, animations -- and share them with your friends. To get started, make an interactive music project. Activity cards and a workshop guide are also available for free on scratch.mit.edu",Web based,Grades 2-8,/images/tutorials/new/scratch_music.jpg,2016-tutorial,https://scratch.mit.edu/hoc?utm_source=codeorg,"English, Catalan, German, Italian, Norwegian, Portuguese, Spanish","ca,en,de,it,nn,pt-BR,pt-PT,es",scratchmus,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,art,computers,All modern browsers,,1hour,blocks,"Blocks, Scratch","From the 2016 CSTA Standards (Draft):
 Interpret the flow of execution of algorithms and predict their
outcomes. 
 Develop block-based and text-based programs that include
expressions and variables, loops and branches, and functions and
procedures. (6-8)
Evaluate and debug an algorithm.",
1935,1,1,1,1960,1,5,gumball_coding_adventure,Gumball's Coding Adventure,Google,https://www.cs-first.com/HOC16S,Use code to continue an episode of The Amazing World of Gumball.,"In the Amazing World of Gumball episode ""The Signal"", a glitch affects how the characters relate to each other. In this activity, continue the story by making your own glitch and imagining how Gumball and his friends would react to it.",Web based,Grades 6-8,/images/tutorials/new/gumball_coding_adventure.jpg,2016-tutorial,http://www.cs-first.com/HOC16T,English only,en,gumadventure,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,la,computers,All modern browsers,,1hour,blocks,"Blocks, Scratch","The Hour of Code activity is part of our curriculum for VEX IQ programming. A complete guide to our alignment to CSTA is included at http://www.robotmesh.com/docs/teacher_guide/Default.htm.  We also align to the UK Computing Programmes of Study, also documented in the teachers guide. ",
1935,1,1,1,1970,1945,64,vidcode_news,Vidcode: Code the News,Vidcode,https://app.vidcode.io/project/hoc-news,"Code effects and graphics to make a news story all about tech, diversity, kids, and coding.","It’s the HOC News! Videos and graphics are all about tech, diversity, kids, and coding. Finished projects can be uploaded to school website as the report on the HOC itself. Teachers can encourage students to use the news to report on what they learned, or a statistic for their school. ""Breaking News: 400 students at Roosevelt participate in the Hour of Code""",Web based,Grades 6+,/images/tutorials/hoc2017/vidcode_news.jpeg,2016-tutorial,http://www.vidcode.io/hour-of-code-resources,English only,en,vidnews,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,"art,history",computers,"Chrome, Firefox",,1hour-follow,typing,JavaScript,This project is a good opportunity to emphasize the use of functions in a program and to relate these to mathematical functions (Common Core math standard HSF.IF.B).,
1920,1980,1483,1483,1,1,6,kodable,Kodable (pre-readers welcome),Kodable,https://www.kodable.com/hour-of-code,A fun game to teach computer programming concepts,"Kodable is a self-guided game that introduces kids 5+ to programming basics. Having a teacher or parent nearby is optimal, but not necessary.",Modern web browsers,Elementary,/images/kodable.png,"Beginner,International",https://www.kodable.com/hour-of-code/lessons,"English, Arabic, Azerbaijani, German, Greek, Spanish, Persian, French, Indonesian, Icelandic, Italian, Korean, Dutch, Norwegian, Polish, Portuguese, Romanian, Russian, Serbian, Swedish, Turkish, Ukrainian, Chinese","ar,az,de,el,en,es,fa,fr,id,is,it,ko,nl,no,pl,pt,pt-br,pt-pt,ro,ru,sr,sv,tr,uk,zh,zh-CN,zh-TW",kodable-pre,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,online-tutorial,math,"computers,android,ios,no-internet","All modern browsers, Android tablet, iPad, Unplugged","All modern browsers, iPad app",1hour,blocks,Blocks,"Common Core:
K.CC.A.1
K.CC.A.2
K.CC.B.4 a,b,c
K.CC.B.5
K.MD.A.1
K.G.A.1
RF.K.1.A
CCRA.R.1
CCRA.R.6
CCRA.R.7
1.2.1-1.2.15 
1.OA.A.1
1.OA.B.4
2.OA.A.1
2.OA.B.2
1.MD.C.4
2.MD.A.1

More info on the Kodable Common Core alignment, including a full list of standards met: http://resources.kodable.com/public/kodable_ccss_reference.pdf",
1940,1,1960,1960,1950,2000,4,sw,Star Wars: Building a Galaxy with Code,Code.org,https://code.org/starwars,"Learn to program droids, and create your own Star Wars game in a galaxy far, far away.","Learn to program droids, and create your own Star Wars game in a galaxy far, far away.","Modern browsers, smartphones, tablets.",Ages 6+,/images/tutorials/resubmission/starwars.png,"starwars,2015-tutorial",https://code.org/hourofcode/starwars,"English, Arabic, Bulgarian, Chinese, Croatian, Danish, Dutch, Finnish, French, German, Greek, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Persian, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Turkish, Ukrainian and 19 more","ar,bg,ca,cs,da,de,en,es,el,fa,fi,fr,hr,hu,is,id,it,ja,ko,lt,nl,nn,no,pl,pt,pt-br,pt-pt,ro,ru,sl,sv,tr,uk,zh-tw,zh-cn",star-wars,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,"computers,android,ios,no-internet","All modern browsers, Android tablet, iPad, Android phone, iPhone",,1hour-follow,blocks,"Blocks, JavaScript",,
1920,1,1910,1910,1482,1,75,high_seas,Adventure on the High Seas,Google,http://cs-first.com/content/hour-code-students,"In this activity, you'll create an adventure story with two characters that takes place on the high seas!","Animate an ocean wave to create a setting, then tell a story that takes place on the high seas.",Web based,Grades 2-8,/images/csfirst.png,2015-tutorial,https://www.cs-first.com/content/hour-code-teachers,English only,en,highseas,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,la,computers,"Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari",,1hour,blocks,"Blocks, Scratch",,
1850,1,1,1,1481,1880,137,appinventor,AppInventor Hour of Code,AppInventor by MIT Center for Mobile Learning @ The Media Lab,http://appinventor.mit.edu/hour-of-code,Make your own app. (Android-only),"Entertaining, quick video tutorials walk you through building three simple apps for your Android phone or tablet. Designed for novices and experts alike, this hour of code will get you ready to start building your own apps before you know it. Imagine sharing your own app creations with your friends! These activities are suitable for individuals and for teachers leading classes.","Modern browsers, Android.",Middle school +,/images/appinventor.jpg,MakeApps,http://appinventor.mit.edu/hour-of-code/teach,English only,en,app-inventor,"all,6-8,9+",Grades 6+,"comfortable,experienced",comfortable,online-tutorial,cs-only,"computers,android",Android,Android,1hour-follow,blocks,Blocks,,
1920,1,1905,1905,1480,1480,8,frozen,Code with Anna and Elsa,Code.org,http://studio.code.org/s/frozen/reset,Let's use code to join Anna and Elsa as they explore the magic and beauty of ice.,Let's use code to join Anna and Elsa as they explore the magic and beauty of ice. You will create snowflakes and patterns as you ice-skate and make a winter wonderland that you can then share with your friends!,"Modern browsers, tablets.",Ages 8+,/images/tutorials/resubmission/frozen.png,"frozen,2015-tutorial",https://code.org/hourofcode/frozen,"English, Arabic, Bulgarian, Chinese, Croatian, Danish, Dutch, Finnish, French, German, Greek, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Persian, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Turkish, Ukrainian and 19 more","ar,bg,ca,cs,da,de,en,es,el,fa,fi,fr,hr,hu,is,id,it,ja,ko,lt,nl,nn,no,pl,pt,pt-br,pt-pt,ro,ru,sl,sv,tr,uk,zh-tw,zh-cn",frzn,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,"art,math","computers,android,ios","All modern browsers, Android, iOS",,1hour-follow,blocks,Blocks,,
1920,1,1902,1902,1480,1,22,scratch_animate,Animate Your Name with Scratch,Scratch,https://scratch.mit.edu/projects/editor/?tip_bar=name&utm_source=codeorg,Make your name come to life! Animate the letters by coding in Scratch.,"With Scratch, you can create your own interactive games, stories, animations -- and share them with your friends. To get started, animate the letters of your name, initials, or a favorite word. Activity cards and a workshop guide are also available for free on scratch.mit.edu.",Web based,Grades 2-8,/images/tutorials/new/scratch_animate_name.jpg,2016-tutorial,https://scratch.mit.edu/hoc?utm_source=codeorg,"English, French, German, Italian, Norwegian, Portuguese, Spanish","en,fr,de,it,nn,pt-BR,pt-PT,es",scratchanim,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,"art,la",computers,All modern browsers,,1hour,blocks,"Blocks, Scratch",,
1860,1,1860,1860,1871,1850,9,code_combat,CodeCombat: Escape the Dungeon!,CodeCombat,https://codecombat.com/play/dungeon?hour_of_code=true,Learn Python and Javascript by coding your way through Kithgard Dungeon!,"Choose your hero and code your way through the ogre patrols, lava pits, and laser beams of Kithgard Dungeon. Level up, earn gems, and loot magic items to unlock new programming powers!",Web based,Grades 2+,/images/tutorials/hoc2017/code_combat.png,2016-tutorial,https://codecombat.com/teachers/resources,"English, Arabic, Bulgarian, Chinese, Czech, Danish, Dutch, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Persian, Polish, Portuguese, Russian, Spanish, Swedish, Turkish, Ukrainian, Vietnamese and 9 more","ar,bg,ca,zh-CN,zh-TW,hr,cs,da,nl,en,et,fi,fr,gl,de,el,he,hu,id,it,ja,ko,lt,no,nn,fa-IR,pl,pt-BR,pt-PT,ro,ru,sr,sl,es,sv,tr,uk,vi",cocom,"all,2-5,6-8,9+",Grades 2+,"beginner,comfortable","beginner,comfortable",online-tutorial,cs-only,computers,All modern browsers,,1hour-follow,typing,"JavaScript, Python, Lua, CoffeeScript",,
1479,1,1479,1479,1479,1479,15,play-lab,Play Lab,Code.org,https://code.org/playlab,Create a story or make a game with Play Lab!,"Create a story or make a game with Play Lab! Make animals, pirates, zombies, ninjas, and many more characters move, make sounds, score points, and even throw fireballs!","Modern browsers, smartphones, tablets.",Ages 4-104,/images/tutorials/resubmission/playlab-general.png,"playlab,2015-tutorial",https://code.org/hourofcode/playlab,"English, Arabic, Bulgarian, Chinese, Croatian, Danish, Dutch, Finnish, French, German, Greek, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Persian, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Turkish, Ukrainian and 19 more","ar,bg,ca,cs,da,de,en,es,el,fa,fi,fr,hr,hu,is,id,it,ja,ko,lt,nl,nn,no,pl,pt,pt-br,pt-pt,ro,ru,sl,sv,tr,uk,zh-tw,zh-cn",play-lab,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android, iOS",,1hour-follow,blocks,Blocks,,
1930,1990,1476,1476,1476,1476,16,boxisland2016,Box Island,Radiant Games,https://boxisland.io/hourofcode,Take a trip on Box Island and collect all the stars!,"Take a trip on Box Island and collect all the stars! Box Island is a beautiful mobile coding game that takes kids on an exciting adventure on the charming island. In this tutorial you will learn the basics of algorithms, sequences, loops and conditionals!","Android tablet, iPad, Android phone, iPhone",Pre-reader +,/images/tutorials/new/boxisland.png,2016-tutorial,https://boxisland.io/static/files/hoc/lesson_plan.pdf,"English, Chinese, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Turkish, Ukrainian, Vietnamese","zh-CN,hr,cs,da,nl,en,fi,fr,de,el,hu,is,id,it,ja,ko,nn,pl,pt-BR,pt-PT,ro,ru,es,sv,tr,uk,vi",boxisland2016,"all,pre,2-5,6-8,9+",All ages,beginner,beginner,online-tutorial,cs-only,"android,ios,no-internet","Android tablet, iPad, Android phone, iPhone",,1hour-follow,blocks,Blocks,,
1790,1,1,1,1,1870,73,text-compression,Text Compression,Code.org,https://studio.code.org/s/text-compression/reset,Investigate lossless compression techniques with the Text Compression Widget,"At some point we reach a physical limit of how fast we can send bits, and if we want to send a large amount of information faster, we have to find a way to represent the same information with fewer bits - we must compress the data. In this lesson, students will use the Text Compression Widget to compress segments of English text by looking for patterns and substituting symbols for larger patterns of text. ",Web based,Grades 9+,/images/tutorials/new/text_compression.png,2016-tutorial,https://curriculum.code.org/hoc/2016/1/,English only,en,textcomp,"all,9+",Grades 9+,"beginner,comfortable","beginner,comfortable",online-tutorial,cs-only,computers,All modern browsers,,1hour-follow,other,Language independent,,
1475,1,1,1,1,1475,157,hoc-encryption,Simple Encryption,Code.org,https://studio.code.org/s/hoc-encryption/reset,Introduces the need for encryption and simple techniques for cracking secret messages.,"Students are introduced to the need for encryption and simple techniques for breaking (or cracking) secret messages. They try their own hand at cracking a message encoded with the classic Caesar cipher and also a Random Substitution Cipher. Students should become well-acquainted with the need for secrecy when sending information over the Internet, and that in an age of powerful computational tools, techniques of encryption will need to be more sophisticated. ",Web based,Grades 9+,/images/tutorials/new/encryption.png,2016-tutorial,https://curriculum.code.org/hoc/2016/2/,English only,en,encryption,"all,9+",Grades 9+,"comfortable,experienced",beginner,online-tutorial,math,computers,All modern browsers,,1hour-follow,other,Language independent,"CCSS-Math, NGSS, CSTA",
1936,2000,1473,1473,1,1,24,codespark,codeSpark Academy with The Foos,codeSpark,http://thefoos.com/hour-of-code/,"""The Foos"" is a fun, pre-reader friendly game to learn about programming.","Code the adorable Foos to solve puzzles that teach fundamental computer science concepts like sequencing and loops. Everyone everywhere can learn to code with codeSpark Academy's award-winning ""no words"" interface. Beginner coders and pre-readers welcome!","iOS, Android (or web browser).",Elementary,/images/tutorials/hoc2017/codespark.jpg,"Apps,Mobile,International,Beginner",http://bit.ly/HoCpuzzles,"English, Arabic, Azerbaijani, Chinese, Dutch, French, German, Greek, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Serbian, Spanish, Swedish, Turkish, Ukrainian","ar,az,de,el,en,es,fa,fr,id,is,it,ko,nl,no,pl,pt,pt-br,ro,ru,sr,sv,tr,uk,zh,hi,ja,hu",foos,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,online-tutorial,art,"computers,android,ios,no-internet","All modern browsers, Android tablet, iPad, Android phone, iPhone",,1hour,blocks,Blocks,"CSTA:
CSTA 1A-A-5-2
CSTA 1A-A-4-4
CSTA 1A-A-3-5
CSTA 1A-A-3-6
CSTA 1A-A-3-7
CSTA 1A-C-7-9
CSTA 1A-N-2-16
CSTA 1B-A-5-4
CSTA 1B-A-3-7
Common Core Math:
CCSS.Math.Practice.MP1
CCSS.Math.Practice.MP2
CCSS.Math.Practice.MP4
CCSS.Math.Practice.MP6
CCSS.Math.Practice.MP7
CCSS.Math.Practice.MP8
CCSS.Math.Content.K.MD.B.3
National Core Arts Standards:
MA:Cr1.1.K
MA:Cr2.1.K
MA:Cr3.1.1.a
MA:Cr3.1.1.b
MA:Pr5.1.1.a
MA:Pr5.1.1.b
ISTE:
EmpoweredLearner-a1
EmpoweredLearner-4d
EmpoweredLearner-c1
ComputationalThinker-5a
ComputationalThinker-5c
ComputationalThinker-5d
CreativeCommunicator-6b
CreativeCommunicator-6d
GlobalCollaborator-7a",
1473,1,1473,1473,1473,1473,18,kano_pixel_hack,Kano Pixel Hack,Kano,http://art.kano.me/challenges/pixelhack/,"Code your way through iconic images from video game history, from Tetris through Minecraft!","Creators of all ages learn to code in a real programming language and watch their commands come to life by drawing a sequence of 13 pictures with code. They’ll learn along the way about video game art history from Pong and other retro games through 8-bit art and Minecraft, weaving together computer science with art, history, and storytelling. The implementation is flexible––you can spend 1 hour or a few hours over one or multiple sessions. Learners can complete Pixel Hack on their own using guidance within the challenges, or you can turn Pixel Hack into an instructor-led journey, with a comprehensive educator manual full of suggestions. Students will be encouraged to add their own creative flair by hacking our challenges, to earn the Pixel Hacker Certificate.","Web based, Android tablet, iPad",Grades 2+,/images/tutorials/resubmission/kano_pixel_hack.jpg,2015-tutorial,,English only,en,kanopixel,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,art,"computers,android,ios","Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari, Android tablet, iPad",,1hour-follow,typing,"JavaScript, Coffeescript","CSTA: 
Computing Practice & Programming (CPP): 5. Implement problem solutions using a programming language, including: looping behavior, conditional statements, logic, expressions, variables, and functions.


Common Core Math: 
CCSS.MATH.PRACTICE.MP1 Make sense of problems and persevere in solving them.

Grade 1: 
CCSS.MATH.CONTENT.1.G.A.2
Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.

Grade 2: 
CCSS.MATH.CONTENT.2.G.A.1
Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.1 Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.

Grade 3: 
CCSS.MATH.CONTENT.3.G.A.1
Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.

Grade 4: 
CCSS.MATH.CONTENT.4.G.A.1
Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures.

CCSS.MATH.CONTENT.4.G.A.3
Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.

Grade 5: 
CCSS.MATH.CONTENT.5.G.A.2
Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.

CCSS.MATH.CONTENT.5.G.B.3
Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.

Grade 6: 
CCSS.MATH.CONTENT.6.G.A.3
Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.

Grade 7: 
CCSS.MATH.CONTENT.7.G.A.2
Draw (freehand, with ruler and protractor, and with technology) geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle.",
1468,1,1468,1468,1468,1,12,tynker_dragondash,Dragon Dash,Tynker,https://www.tynker.com/hour-of-code/dragon-dash,Go on an epic quest for treasure.,"Design your own custom dragon, then use programming to guide it through fun puzzles on its quest for treasure and coins! You'll have to navigate through complex castles, find power-ups, and conquer knights to get all the treasure.",Web based,"Grades 2-5 (ages 7-10), Grades 6-8 (ages 11-13)",/images/tutorials/new/tynker_dragondash.jpg,2015-tutorial,https://www.tynker.com/courses/code-monsters/tynker-code-monsters-teacher-guide.pdf,English only,en,tynkerdd,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,computers,"Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari",,1hour,blocks,Blocks,,
1468,1,1468,1468,1468,1,28,scratch_fly,Make it Fly with Scratch,Scratch,https://scratch.mit.edu/projects/editor/?tip_bar=fly&utm_source=codeorg,Choose a character and make a flying animation!,"With Scratch, you can create your own interactive games, stories, animations -- and share them with your friends. To get started, learn how to make your own flying character. Activity cards and a workshop guide are also available for free on scratch.mit.edu. ",Web based,Grades 2-8,/images/tutorials/new/scratch_fly.jpg,2016-tutorial,https://scratch.mit.edu/hoc?utm_source=codeorg,"English, Catalan, Italian, Norwegian, Portuguese","ca,en,it,nn,pt-BR,pt-PT",scratchfly,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,"art,math",computers,All modern browsers,,1hour,blocks,"Blocks, Scratch","From the CSTA 2016 Draft standards: 
Construct and execute an algorithm (set of step-by-step
instructions) to accomplish a task, both independently and
collaboratively. (K-5)

Interpret the flow of execution of algorithms and predict their
outcomes. 
",
1465,1,1,1,1465,1465,60,tynker_analog,Analog Clock STEM Kit,Tynker,https://www.tynker.com/hour-of-code/analog-clock,Create a working analog clock.,"Use your knowledge of math and geometry to create a working analog clock with moving second, minute, and hour hands. You'll need to calculate the angle that each hand should point based on what time it is. When you're done, you can add in reminders about what you need to do throughout the day to make your own alarm clock!",Web based,Grades 6+,/images/tutorials/new/tynker_analog.jpg,2016-tutorial,https://www.tynker.com/hour-of-code/tynker-stem-teacher-guide.pdf,English only,en,tynkerana,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,math,"computers,android,ios,no-internet","All modern browsers, Android tablets, iPads, Android phones, iPhones",,1hour,blocks,Blocks,,do-not-show
1465,1,1465,1465,1465,1465,94,vidcode_card,Vidcode: Bestie Greeting Card,Vidcode,https://app.vidcode.io/hourofcode/gs/1,Learn how to make a greeting card with JavaScript!,"Learn how to make a greeting card with JavaScript!

You will learn how to manipulate your own videos by accessing each and every pixel and telling it what to do with CODE!

You can also upload and record your own footage to personalize the experience.

Created in partnership with GSGNY.",Web based,Grades 2+,/images/tutorials/hoc2017/vidcode_card.jpg,2016-tutorial,https://app.vidcode.io/hourofcode/gs/volunteers,English only,en,vidcard,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,art,computers,Chrome,,1hour,typing,JavaScript,"This activity addresses Common Core math standards that deal with variables (6.EE.A, 6.EE.B, and 7.EE.B).",
1464,1,1464,1464,1464,1,29,spritebox,Spritebox Coding,Lightbot,http://spritebox.com/hour.html,"Run, jump, and code your way through three different worlds to collect the stars and make it to the finish line! Learn sequencing, debugging and loops, and code in Swift, Java, or with Icons.","Run, jump, and code your way through three different worlds to collect the stars and make it to the finish line! Learn sequencing, debugging and loops, and code in Swift, Java, or with Icons.","Web based, Android tablet, iPad, Android phone, iPhone",Grades 2-8,/images/tutorials/new/spritebox.png,2016-tutorial,,"English, Brazilian Portuguese","en, pt-BR",spritebox,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,"computers,android,ios,no-internet","All modern browsers, Android tablet, iPad",,1hour,"blocks,typing","Blocks, Java, iOS/Swift","CCSS-Math, CSTA",
1463,1,1,1,1463,1463,42,codeavengers_turtle,Python Turtle Graphics,Code Avengers,https://www.codeavengers.com/python/100,Use Python code to draw fun pictures with turtles.,"Python is an engaging and simple language to learn. Learn about using modules, functions, loops, and lists, all while creating fun images with the help of your turtle buddies. Geometry has never been so much fun!",Web based,Grades 6+,/images/tutorials/resubmission/code_avengers_turtle.png,2015-tutorial,,"English, Dutch, Spanish","en,nl,es",capython,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,math,computers,"Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari",,1hour-follow,typing,Python,,
1462,1,1,1,1462,1462,74,tynker_counterhack,Counter Hack,Tynker,https://www.tynker.com/hour-of-code/counter-hack,Learn Javascript as you defeat viruses!,"Save the computer from a malicious virus! You'll have to hack your way through the system by deleting viruses, opening doors, solving mazes, and navigating through the portals. Watch out for viruses and glitches!",Web based,Grades 6+,/images/tutorials/new/tynker_counterhack.jpg,2015-tutorial,https://www.tynker.com/courses/code-monsters/tynker-code-monsters-teacher-guide.pdf,English only,en,tynkerch,"all,6-8,9+",Grades 6+,beginner,comfortable,online-tutorial,cs-only,computers,"Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari",,1hour,typing,JavaScript,,
