old_url,new_url
https://levelbuilder-studio.code.org/v3/animations/ItwNWAVB5q8ugGyPo0SoCQ/83b24679-cd28-4c04-bd57-2667df547e93.png?version=J1dxBJVDBHpeJA0Jc2wlzFGcGgSL2zI3,/api/v1/animation-library/level_animations/NmX_oWAyNJmnrQgW_h42v7LHe1WhrC9i/blue_fish_level.png
https://levelbuilder-studio.code.org/v3/animations/ItwNWAVB5q8ugGyPo0SoCQ/02d942fc-0c83-430b-8011-9f2bee0764b8.png?version=vpdxznfdN90jF1dq_JhZTePSev5nhLMi,/api/v1/animation-library/level_animations/d1OKuxZImifmVxwEqbiEx07YP4lhNgo2/levelbuilder-image-2.png
https://levelbuilder-studio.code.org/v3/animations/ItwNWAVB5q8ugGyPo0SoCQ/2a2a952d-97a0-4536-82b6-80e340668660.png?version=pv3S3nnyNSBfgQcdrGAQ.40fCAMhVVlp,/api/v1/animation-library/level_animations/mIeqaj4o4iu9SviygIKbMvehqfDWRiIK/levelbuilder-image-3.png
https://levelbuilder-studio.code.org/v3/animations/EW437bB2p4TGfLNBA8qyYQ/632b7a80-3526-48b4-8b27-333199f6d3cf.png?version=nfTVVs5JWn8Ba7xwkLzgyOP_g6ACT24W,/api/v1/animation-library/level_animations/tFMhOthhqd.sQO0MAWNqSxSjt78gTPSW/levelbuilder-image-4.png
https://levelbuilder-studio.code.org/v3/animations/EW437bB2p4TGfLNBA8qyYQ/0f775d6a-177e-4b8e-a152-df070aa5e3d2.png?version=DcfnQX1eXXw23.KZayenLB2s9ugANk_N,/api/v1/animation-library/level_animations/kZX_FCZMuBn6MqvqlR4AWEYkK6ej5N4./levelbuilder-image-5.png
https://levelbuilder-studio.code.org/v3/animations/EW437bB2p4TGfLNBA8qyYQ/05abc816-2a69-4696-b6a7-f31a576a7d6c.png?version=tL7rz4wVjyUS51LtPOqyZ8onGkcG4_nv,/api/v1/animation-library/level_animations/tcw4p6L2posxxZ.5zHpmQS9lkQWKjS1F/levelbuilder-image-6.png
https://levelbuilder-studio.code.org/v3/animations/O8iztpgBbbIsM9W0W7n3SA/e202b80e-f0a8-4e3e-8650-a10f71494849.png?version=vVvdMpuKqIBRY6hSWNpuucihJN_S9Vlf,/api/v1/animation-library/level_animations/JVAzlERGPha6gS3q4sbxfuK1igCtglFo/levelbuilder-image-7.png
https://levelbuilder-studio.code.org/v3/animations/O8iztpgBbbIsM9W0W7n3SA/76d5313f-f434-4934-b880-792c24a1219b.png?version=7OeN9nccFV8zVotlxbNovTbyckKcXXPE,/api/v1/animation-library/level_animations/nbgREN3eIARZPaTA4R4u0Ro3yMiJrBte/lb-bricks-grey.png
https://levelbuilder-studio.code.org/v3/animations/O8iztpgBbbIsM9W0W7n3SA/7c52ef67-15a3-4c09-9771-0873dbf48654.png?version=MRpy9Qv.7faJz.APqG.dEk07SLM7wPjT,/api/v1/animation-library/level_animations/8dSzAsJfFlUom47uU3M9aNy_066YHARR/lb-star-red.png
https://levelbuilder-studio.code.org/v3/animations/wAn2qL0DC8VvIw8ERk3ZSw/321dd15d-3407-4f1e-a6ce-db29166a49f6.png?version=D.P.2o8InNmM.4p.k.FgQifY2HDt1Jd6,/api/v1/animation-library/level_animations/ZfnfYLAawihGxBPcADVX_7xPPRbHXDLR/lb-car-blue.png
https://levelbuilder-studio.code.org/v3/animations/wAn2qL0DC8VvIw8ERk3ZSw/5f511078-f029-412c-bd7f-29252b10cb51.png?version=ucoitefl0l2gItaujAs7Rfv9yhUtZzZa,/api/v1/animation-library/level_animations/4nLVkeH9QHNue_cVXHQz6Gp_0UQLghAG/lb-car-purple.png
https://levelbuilder-studio.code.org/v3/animations/wAn2qL0DC8VvIw8ERk3ZSw/f9e84459-67f1-430c-8409-f35ebe1032e6.png?version=ddChZY.WLcHbIo_V1C9EwXv_8gGdvG.1,/api/v1/animation-library/level_animations/rtiJ2BHrpSade6akbYxC99haW_2B3K6z/lb-car-orange.png
https://levelbuilder-studio.code.org/v3/animations/wAn2qL0DC8VvIw8ERk3ZSw/7fcb5db9-09c7-40e9-98f8-a4b4cf9d177c.png?version=6uVZvwiRYIlHKc6v1DBpb6i0R4O_fuet,/api/v1/animation-library/level_animations/ahmj0F8KH2rwbJxFDW30TLBWPbrXoD5X/levelbuilder-image-13.png
https://levelbuilder-studio.code.org/v3/animations/N-p-rJJZ4_T4Yy1kFqUP5g/be552e1a-126c-4eff-a914-601d158b8ea5.png?version=YLoo5A2m1cxIOS5PiW62m.Fecf63j7_L,/api/v1/animation-library/level_animations/h08Mw4.0onR1VD9.faMwwK08oTIRZQfP/lb-fly-black.png
https://levelbuilder-studio.code.org/v3/animations/N-p-rJJZ4_T4Yy1kFqUP5g/ebda0809-0134-40e0-b74a-565d800b32d2.png?version=eRgRkF0WZTaS53zwgqVz2_miHcf8kZUW,/api/v1/animation-library/level_animations/UUq5jmejUbV.VsDlG6jY9TUrJOtefDws/lb-mouse-grey.png
