School ID,Course,Year,School Name,City,Zip/Postal Code,School District,State/Province
250885001432,Project Lead the Way: Computer Science Pathway,2020,Northampton High,NORTHAMPTON,1060,NORTHAMPTON,MA
251113001806,Project Lead the Way: Computer Science Pathway,2020,High School Of Commerce,SPRINGFIELD,1105,SPRINGFIELD,MA
250253000154,Project Lead the Way: Computer Science Pathway,2020,MONUMENT MT REGIONAL HIGH,GREAT BARRINGTON,1230,BERKSHIRE HILLS,MA
250867001387,Project Lead the Way: Computer Science Pathway,2020,DRURY HIGH,NORTH ADAMS,1247,NORTH ADAMS,MA
251104001774,Project Lead the Way: Computer Science Pathway,2020,Mt Everett Regional,SHEFFIELD,1257,SOUTHERN BERKSHIRE,MA
250696001012,Project Lead the Way: Computer Science Pathway,2020,Littleton High School,LITTLETON,1460,LITTLETON,MA
250879001415,Project Lead the Way: Computer Science Pathway,2020,NORTH MIDDLESEX REGIONAL,TOWNSEND,1469,NORTH MIDDLESEX,MA
250375000513,Project Lead the Way: Computer Science Pathway,2020,Clinton High School,CLINTON,1510,CLINTON,MA
251077001717,Project Lead the Way: Computer Science Pathway,2020,Shrewsbury High School,SHREWSBURY,1545,SHREWSBURY,MA
250271000191,Project Lead the Way: Computer Science Pathway,2020,Blackstone Valley Regional Vocational Technical Hi,UPTON,1568,BLACKSTONE VALLEY REGIONAL VOCATIONAL TECHNICAL,MA
251185001938,Project Lead the Way: Computer Science Pathway,2020,Uxbridge High School,UXBRIDGE,1569,UXBRIDGE,MA
251323002305,Project Lead the Way: Computer Science Pathway,2020,Worcester Technical High School,WORCESTER,1605,WORCESTER,MA
250630000915,Project Lead the Way: Computer Science Pathway,2020,HOPEDALE JR SR HIGH,HOPEDALE,1747,HOPEDALE,MA
250786001239,Project Lead the Way: Computer Science Pathway,2020,Milford High,MILFORD,1757,MILFORD,MA
250267000177,Project Lead the Way: Computer Science Pathway,2020,Billerica Memorial High School,BILLERICA,1821,BILLERICA,MA
250666002856,Project Lead the Way: Computer Science Pathway,2020,Lawrence High School,LAWRENCE,1843,LAWRENCE,MA
250870001397,Project Lead the Way: Computer Science Pathway,2020,North Andover High,NORTH ANDOVER,1845,NORTH ANDOVER,MA
251191001951,Project Lead the Way: Computer Science Pathway,2020,Wakefield High School,WAKEFIELD,1880,WAKEFIELD,MA
250832001290,Project Lead the Way: Computer Science Pathway,2020,Nashoba Valley Technical High School,WESTFORD,1886,NASHOBA VALLEY REGIONAL VOCATIONAL TECHNICAL,MA
250399000529,Project Lead the Way: Computer Science Pathway,2020,Danvers High,DANVERS,1923,DANVERS,MA
250008001843,Project Lead the Way: Computer Science Pathway,2020,Boston Preparatory Public Charter School,HYDE PARK,2136,BOSTON PREPARATORY CHARTER PUBLIC (DISTRICT),MA
250477000634,Project Lead the Way: Computer Science Pathway,2020,Everett High School,EVERETT,2149,EVERETT,MA
251005001630,Project Lead the Way: Computer Science Pathway,2020,Revere High School,REVERE,2151,REVERE,MA
251122002295,Project Lead the Way: Computer Science Pathway,2020,Stoneham High School,STONEHAM,2180,STONEHAM,MA
250309000385,Project Lead the Way: Computer Science Pathway,2020,Brockton High School,BROCKTON,2301,BROCKTON,MA
250336002662,Project Lead the Way: Computer Science Pathway,2020,CARVER MIDDLE/HIGH SCHOOL,CARVER,2330,CARVER,MA
250777001227,Project Lead the Way: Computer Science Pathway,2020,Middleborough High School,MIDDLEBOROUGH,2346,MIDDLEBOROUGH,MA
251102002290,Project Lead the Way: Computer Science Pathway,2020,Southeastern Regional Vocational Technical HS,SOUTH EASTON,2375,SOUTHEASTERN REGIONAL VOCATIONAL TECHNICAL,MA
251206001991,Project Lead the Way: Computer Science Pathway,2020,Wareham High School,WAREHAM,2571,WAREHAM,MA
250231000116,Project Lead the Way: Computer Science Pathway,2020,Barnstable High School,HYANNIS,2601,BARNSTABLE,MA
250219000084,Project Lead the Way: Computer Science Pathway,2020,Attleboro High,ATTLEBORO,2703,ATTLEBORO,MA
250483000649,Project Lead the Way: Computer Science Pathway,2020,BMC Durfee High School,FALL RIVER,2720,FALL RIVER,MA
250054102728,Project Lead the Way: Computer Science Pathway,2020,Somerset Berkley Regional High School,SOMERSET,2726,SOMERSET BERKLEY REGIONAL SCHOOL DISTRICT,MA
250402000540,Project Lead the Way: Computer Science Pathway,2020,Dartmouth High,DARTMOUTH,2748,DARTMOUTH,MA
251278002861,Project Lead the Way: Computer Science Pathway,2020,Westport Junior and Senior High School,WESTPORT,2790,WESTPORT,MA
440006500009,Project Lead the Way: Computer Science Pathway,2020,Mt. Hope High School,BRISTOL,2809,BRISTOL WARREN,RI
440063000147,Project Lead the Way: Computer Science Pathway,2020,Middletown High School,MIDDLETOWN,2842,MIDDLETOWN,RI
440075000168,Project Lead the Way: Computer Science Pathway,2020,North Kingstown High School,NORTH KINGSTOWN,2852,NORTH KINGSTOWN,RI
440096000255,Project Lead the Way: Computer Science Pathway,2020,Scituate Middle/High School,NORTH SCITUATE,2857,SCITUATE,RI
440042000116,Project Lead the Way: Computer Science Pathway,2020,Ponaganset High School,NORTH SCITUATE,2857,FOSTER-GLOCESTER,RI
440001500488,Project Lead the Way: Computer Science Pathway,2020,Blackstone Valley Prep,CUMBERLAND,2864,BLACKSTONE VALLEY PREP  A RI MAYORAL ACADEMY,RI
440027000076,Project Lead the Way: Computer Science Pathway,2020,Cumberland High School,CUMBERLAND,2864,CUMBERLAND,RI
440102000265,Project Lead the Way: Computer Science Pathway,2020,South Kingstown High School,WAKEFIELD,2879,SOUTH KINGSTOWN,RI
440120000464,Project Lead the Way: Computer Science Pathway,2020,Woonsocket Area Career and Technical Center,WOONSOCKET,2895,WOONSOCKET,RI
440090000467,Project Lead the Way: Computer Science Pathway,2020,Providence Career Technical,PROVIDENCE,2903,PROVIDENCE,RI
440000300121,Project Lead the Way: Computer Science Pathway,2020,Metropolitan Career Tech Ctr,PROVIDENCE,2905,MET CAREER AND TECH,RI
440033000459,Project Lead the Way: Computer Science Pathway,2020,East Providence Career and Technical Center,EAST PROVIDENCE,2914,EAST PROVIDENCE,RI
330435000674,Project Lead the Way: Computer Science Pathway,2020,Campbell High School,LITCHFIELD,3052,LITCHFIELD SCHOOL DISTRICT,NH
330375000166,Project Lead the Way: Computer Science Pathway,2020,Hillsboro Deering High School,HILLSBOROUGH,3244,HILLSBORO DEERING COOP SCHOOL DISTRICT,NH
230351000084,Project Lead the Way: Computer Science Pathway,2020,Brewer High School,BREWER,4412,BREWER PUBLIC SCHOOLS,ME
90282000595,Project Lead the Way: Computer Science Pathway,2020,Southeastern CT Science and Technology Magnet HS,NEW LONDON,6320,NEW LONDON SCHOOL DISTRICT,CT
90495001041,Project Lead the Way: Computer Science Pathway,2020,West Haven High School,WEST HAVEN,6516,WEST HAVEN SCHOOL DISTRICT,CT
90045001633,Project Lead the Way: Computer Science Pathway,2020,Aero/Hydrospace Engineering Magnet School at Fairchild Wheeler Campus,BRIDGEPORT,6606,BRIDGEPORT SCHOOL DISTRICT,CT
90309000638,Project Lead the Way: Computer Science Pathway,2020,Brien McMahon School,NORWALK,6854,NORWALK SCHOOL DISTRICT,CT
340735002746,Project Lead the Way: Computer Science Pathway,2020,Hoboken High School,HOBOKEN,7030,HOBOKEN PUBLIC SCHOOL DISTRICT,NJ
341254004836,Project Lead the Way: Computer Science Pathway,2020,Passaic High School,PASSAIC,7055,PASSAIC CITY SCHOOL DISTRICT,NJ
341254003433,Project Lead the Way: Computer Science Pathway,2020,Passaic Academy for Science and Engineering,Passaic,7055,,NJ
341536003632,Project Lead the Way: Computer Science Pathway,2020,South Plainfield High School,SOUTH PLAINFIELD,7080,SOUTH PLAINFIELD SCHOOL DISTRICT,NJ
341650005742,Project Lead the Way: Computer Science Pathway,2020,Union High School,UNION,7083,TOWNSHIP OF UNION SCHOOL DISTRICT,NJ
341638003059,Project Lead the Way: Computer Science Pathway,2020,Jose Marti STEM Academy,UNION CITY,7087,UNION CITY SCHOOL DISTRICT,NJ
341431005664,Project Lead the Way: Computer Science Pathway,2020,Roselle Park High School,ROSELLE PARK,7204,ROSELLE PARK PUBLIC SCHOOL DISTRICT,NJ
340729005540,Project Lead the Way: Computer Science Pathway,2020,Hillside High School,HILLSIDE,7205,HILLSIDE PUBLIC SCHOOL DISTRICT,NJ
341671005422,Project Lead the Way: Computer Science Pathway,2020,Vernon Township High School,VERNON,7462,VERNON TOWNSHIP SCHOOL DISTRICT,NJ
341263003477,Project Lead the Way: Computer Science Pathway,2020,Diana C. Lobosco STEM Academy,Wayne,7470,,NJ
340627000496,Project Lead the Way: Computer Science Pathway,2020,Hacksensack High School,HACKENSACK,7601,HACKENSACK SCHOOL DISTRICT,NJ
340093003732,Project Lead the Way: Computer Science Pathway,2020,Asbury Park High School,ASBURY PARK,7712,ASBURY PARK SCHOOL DISTRICT,NJ
340894003904,Project Lead the Way: Computer Science Pathway,2020,Long Branch High School,LONG BRANCH,7740,LONG BRANCH PUBLIC SCHOOL DISTRICT,NJ
341081004366,Project Lead the Way: Computer Science Pathway,2020,Morristown High School,MORRISTOWN,7960,MORRIS SCHOOL DISTRICT,NJ
340600001494,Project Lead the Way: Computer Science Pathway,2020,Gloucester City High School,GLOUCESTER CITY,8030,GLOUCESTER CITY PUBLIC SCHOOL DISTRICT,NJ
00864388,Project Lead the Way: Computer Science Pathway,2020,Paul Vi High School,HADDONFIELD,8033,,NJ
341455005090,Project Lead the Way: Computer Science Pathway,2020,Salem High School,SALEM,8079,SALEM CITY SCHOOL DISTRICT,NJ
340267001414,Project Lead the Way: Computer Science Pathway,2020,Camden County Tech - Gloucester Township Campus,SICKLERVILLE,8081,CAMDEN COUNTY TECHNICAL SCHOOL DISTRICT,NJ
340267001412,Project Lead the Way: Computer Science Pathway,2020,Camden County Tech - Pennsauken Campus,PENNSAUKEN,8109,CAMDEN COUNTY TECHNICAL SCHOOL DISTRICT,NJ
340909001720,Project Lead the Way: Computer Science Pathway,2020,Lower Cape May Regional High School,CAPE MAY,8204,LOWER CAPE MAY REGIONAL SCHOOL DISTRICT,NJ
340606000122,Project Lead the Way: Computer Science Pathway,2020,Absegami High School,GALLOWAY,8205,GREATER EGG HARBOR REGIONAL HIGH SCHOOL DISTRICT,NJ
340362001820,Project Lead the Way: Computer Science Pathway,2020,Cumberland Regional High School,BRIDGETON,8302,CUMBERLAND REGIONAL SCHOOL DISTRICT,NJ
340361001816,Project Lead the Way: Computer Science Pathway,2020,Cumberland County Technical Education Center,MILLVILLE,8332,CUMBERLAND COUNTY BOARD OF VOCATIONAL EDUCATION,NJ
340096000010,Project Lead the Way: Computer Science Pathway,2020,Atlantic City High School,ATLANTIC CITY,8401,ATLANTIC CITY SCHOOL DISTRICT,NJ
340375002978,Project Lead the Way: Computer Science Pathway,2020,Delaware Valley Reg High,FRENCHTOWN,8825,DELAWARE VALLEY REGIONAL HIGH SCHOOL DISTRICT,NJ
341149003480,Project Lead the Way: Computer Science Pathway,2020,North Brunswick Township High School,NORTH BRUNSWICK,8902,NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT,NJ
360008701940,Project Lead the Way: Computer Science Pathway,2020,Dewitt Clinton High School,BRONX,10468,NEW YORK CITY GEOGRAPHIC DISTRICT #10,NY
00939786,Project Lead the Way: Computer Science Pathway,2020,The Masters School,DOBBS FERRY,10522,,NY
361419001165,Project Lead the Way: Computer Science Pathway,2020,Hendrick Hudson High School,MONTROSE,10548,HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,NY
363126004188,Project Lead the Way: Computer Science Pathway,2020,White Plains High School,WHITE PLAINS,10605,WHITE PLAINS CITY SCHOOL DISTRICT,NY
361932001766,Project Lead the Way: Computer Science Pathway,2020,Middletown High School,MIDDLETOWN,10940,MIDDLETOWN CITY SCHOOL DISTRICT,NY
00925933,Project Lead the Way: Computer Science Pathway,2020,Xaverian High School,BROOKLYN,11209,,NY
360009901919,Project Lead the Way: Computer Science Pathway,2020,Benjamin N. Cardozo High School,Bayside,11364,,NY
361218000974,Project Lead the Way: Computer Science Pathway,2020,Glen Cove High School,GLEN COVE,11542,GLEN COVE CITY SCHOOL DISTRICT,NY
360099706131,Project Lead the Way: Computer Science Pathway,2020,The Academy Charter School,HEMPSTEAD,11550,ACADEMY CHARTER SCHOOL,NY
