School Name,School Code
Asbury High School,10027
Benjamin Russell High School,10035
Anniston High School,10110
Wellborn High School,10125
Arab High School,10130
Ardmore High School,10132
Athens High School,10175
East Limestone High School,10185
Auburn High School,10220
Oak Grove High School,10320
Alabama School of Fine Arts,10326
Hoover High School,10328
Altamont School,10335
Minor High School,10375
Mountain Brook High School,10380
Spain Park High School,10381
Oak Mountain High School,10408
Shades Valley High School,10415
Wenonah High School,10425
Beulah High School,10445
T R Miller High School,10505
Calera High School,10555
Chelsea High School,10648
Childersburg High School,10660
Shelby County High School,10750
Cullman High School,10795
Fairview High School,10800
West Point High School,10810
Dadeville High School,10820
Daphne High School,10844
Holtville High School,10850
Austin High School,10856
Decatur High School,10860
Priceville High School,10862
Douglas High School,10925
Elkmont High School,10955
West Limestone High School,10960
Enterprise High School,10980
Eufaula High School,10995
Fairhope High School,11060
Falkville High School,11070
Fayette County High School,11075
Central High School,11120
Florence High School,11126
Rogers High School,11135
Gardendale High School,11208
Greensboro High School,11295
Brindlee Mountain High School,11336
Guntersville High School,11340
Madison County High School,11345
Haleyville High School,11355
Hartselle High School,11390
Hazel Green High School,11415
Helena High School,11438
North Sand Mountain High School,11443
Jefferson County International Baccalaureate School,11459
Virgil Grissom High School,11466
Huntsville High School,11485
New Century Technology High School,11494
Brooks High School,11568
Leeds High School,11600
Lexington School,11630
Lincoln High School,11635
Bob Jones High School,11697
James Clemens High School,11701
Francis Marion School,11725
Stanhope Elmore High School,11758
McGill-Toolen Catholic High School,11820
Murphy High School,11830
W P Davidson High School,11839
Montevallo High School,11858
Alabama Christian Academy,11869
Mcps High School,11880
Carver Senior High School,11885
Jefferson Davis High School,11892
LAMP High School,11896
Montgomery Academy,11897
Lee High School,11900
Park Crossing High School,11907
Lanier Senior High School,11910
Muscle Shoals High School,11927
Lawrence County High School,11930
Munford High School,11960
Buckhorn High School,11980
Tuscaloosa County High School,12005
Opelika High School,12055
Oxford High School,12085
White Plains High School,12090
Carroll High School,12093
Central High School,12135
Prattville High School,12220
Vigor High School,12235
Lauderdale County High School,12340
Russellville High School,12352
Northside High School,12365
Satsuma High School,12383
Scottsboro High School,12395
Russell County High School,12400
Mary G Montgomery High School,12450
Sheffield High School,12455
Thompson High School,12485
Albert P Brewer High School,12510
Springville High School,12530
Sylacauga High School,12570
Theodore High School,12615
Sparkman High School,12648
Hewitt-Trussville High School,12675
American Christian Academy,12679
Hillcrest High School,12685
Tuscaloosa Academy,12688
Central High School,12690
Deshler High School,12695
Vestavia Hills High School,12768
Vinemont High School,12782
Wetumpka High School,12835
Sumter Central High School,12855
Pike Road High School,12858
Dimond High School,20003
Service High School,20004
Cordova Junior-Senior High School,20015
Susitna Valley High School,20136
Wasilla High School,20155
Grace Christian School,20182
Colony High School,20286
Mat-Su Career and Technical High School,21080
Agua Fria High School,30007
La Joya Community High School,30008
Youngker High School,30026
Mohave High School,30032
Basha High School,30037
Chandler High School,30045
Rock Point Community School,30051
Horizon Honors High School,30054
Hamilton High School,30062
Paragon Science Academy,30070
BASIS Chandler,30072
Maricopa Institute of Technology,30078
Coconino High School,30103
Northland Preparatory Academy,30111
Fountain Hills High School,30124
Mesquite High School,30157
Millennium High School,30159
Higley High School,30163
Sandra Day Oconnor High School,30173
