Party,Handicapped Infants Protection Act,Water Project Cost Sharing,Adoption Of The Budget Resolution,Physician Fee Freeze,Aid to El Salvador,Allow Religious Meetings In Schools, Ban Testing of Anti-Satellite Weapons,Aid To Nicaraguan Contras,Authorize MX Missile System,Immigration Reform Act,Cut Funding for Synfuels,Education Spending,Superfund Right To Sue Bill,Crime Bill,Duty Free Exports,Extend Export Controls to South Africa
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Unknown,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Unknown
Democrat,Unknown,Yea,Yea,Unknown,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay
Democrat,Nay,Yea,Yea,Nay,Unknown,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Unknown,Yea,Yea,Yea,Yea
Democrat,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea
Democrat,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Unknown,Yea,Yea,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Unknown,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Unknown,Unknown
Republican,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Unknown,Unknown,Yea,Yea,Nay,Nay
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Unknown,Yea,Yea,Unknown,Unknown
Democrat,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Unknown,Unknown
Democrat,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Unknown,Yea,Yea,Unknown,Nay,Nay,Yea,Unknown
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Unknown,Unknown,Nay,Unknown
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Unknown,Nay,Unknown
Democrat,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Unknown,Yea,Yea,Yea,Unknown,Nay,Nay,Yea
Democrat,Yea,Unknown,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Unknown,Yea,Yea,Nay,Nay
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Unknown,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Unknown,Unknown,Yea,Yea
Democrat,Yea,Unknown,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Unknown,Nay,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Unknown
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea
Republican,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Unknown
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay
Republican,Yea,Unknown,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Unknown,Yea,Nay,Yea
Republican,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Unknown,Nay,Nay,Nay,Nay,Unknown
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Unknown
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Unknown
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Unknown,Nay,Yea,Nay,Nay,Nay,Yea,Unknown
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Unknown,Nay,Nay,Nay,Nay,Nay,Nay,Unknown
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea
Republican,Nay,Unknown,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Unknown,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Unknown,Unknown
Republican,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Yea,Yea,Yea,Nay,Nay,Yea,Unknown,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Unknown
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Unknown
Democrat,Yea,Yea,Yea,Nay,Nay,Unknown,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Unknown
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Unknown
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Unknown,Nay,Nay,Nay,Yea
Republican,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Yea,Unknown,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Unknown
Republican,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Unknown
Republican,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea
Democrat,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay
Democrat,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Unknown
Democrat,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Unknown
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Unknown,Yea,Yea,Yea,Nay,Yea,Nay,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay
Republican,Nay,Unknown,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay
Democrat,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Unknown,Yea,Yea,Nay,Unknown
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Unknown,Yea,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea
Democrat,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea
Democrat,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Unknown,Unknown,Nay,Yea,Unknown,Unknown,Unknown,Yea,Yea
Democrat,Nay,Nay,Unknown,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea
