jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
PENNSYLVANIA,FALSE,2010,48087,FALSE,FALSE,12717722,46612,653,3472,16375,26112,276366,55206,204440,16720
RHODE ISLAND,TRUE,2010,3159,FALSE,FALSE,1052528,2709,29,298,782,1600,26959,6124,18432,2403
SOUTH CAROLINA,FALSE,2010,23009,FALSE,FALSE,4637106,27923,265,1551,5017,21090,181098,46261,121544,13293
SOUTH DAKOTA,FALSE,2010,3393,FALSE,FALSE,816598,2196,23,385,154,1634,15188,3192,11196,800
TENNESSEE,FALSE,2010,20037,FALSE,FALSE,6357436,38909,359,2173,8361,28016,232855,64293,153729,14833
TEXAS,FALSE,2010,160242,FALSE,FALSE,25253466,113231,1249,7622,32843,71517,951246,228597,654626,68023
UTAH,FALSE,2010,5442,FALSE,FALSE,2775479,5925,53,983,1269,3620,88316,15095,67242,5979
VERMONT,TRUE,2010,2079,FALSE,FALSE,625909,820,7,141,76,596,14160,3348,10373,439
VIRGINIA,FALSE,2010,31911,FALSE,FALSE,8023953,17184,376,1580,5678,9550,187403,30804,145990,10609
WASHINGTON,FALSE,2010,17028,FALSE,FALSE,6742950,21138,154,2579,5929,12476,249426,55192,168490,25744
WEST VIRGINIA,FALSE,2010,5072,FALSE,FALSE,1854368,5586,58,362,776,4390,41301,10778,28104,2419
WISCONSIN,FALSE,2010,22033,FALSE,FALSE,5691659,14167,155,1191,4516,8305,142781,26636,107993,8152
WYOMING,FALSE,2010,2092,FALSE,FALSE,564554,1117,8,162,77,870,13869,2151,11126,592
ALABAMA,FALSE,2011,26813,TRUE,FALSE,4803689,20166,299,1370,4906,13591,173192,51119,111411,10662
ALASKA,TRUE,2011,6216,FALSE,FALSE,723860,4416,30,436,576,3374,19094,2852,14854,1388
ARIZONA,FALSE,2011,39949,FALSE,FALSE,6467315,26789,397,2499,7145,16748,229896,54695,155400,19801
ARKANSAS,FALSE,2011,14090,FALSE,FALSE,2938582,14173,160,1230,2357,10426,110430,34016,70645,5769
CALIFORNIA,FALSE,2011,147578,FALSE,FALSE,37683933,154943,1792,7665,54291,91195,973822,230075,596905,146842
COLORADO,FALSE,2011,21862,FALSE,FALSE,5116302,16085,155,2285,3299,10346,132781,25725,96054,11002
CONNECTICUT,TRUE,2011,17877,FALSE,FALSE,3586717,9889,129,689,3689,5382,77205,15468,55067,6670
DELAWARE,TRUE,2011,6546,FALSE,FALSE,908137,5144,48,307,1558,3231,31163,7617,22001,1545
FLORIDA,FALSE,2011,100861,FALSE,FALSE,19082262,98198,984,5273,25622,66319,671200,170171,461408,39621
GEORGIA,FALSE,2011,52844,FALSE,FALSE,9812460,36762,549,2066,12266,21881,357235,96014,231543,29678
HAWAII,TRUE,2011,5454,FALSE,FALSE,1378129,3465,20,353,994,2098,43874,8165,31240,4469
IDAHO,FALSE,2011,7470,FALSE,FALSE,1583744,3202,35,444,188,2535,32875,6915,24629,1331
ILLINOIS,FALSE,2011,48427,FALSE,TRUE,12859752,54523,781,3030,20217,30495,344468,77719,237362,29387
INDIANA,FALSE,2011,27402,FALSE,FALSE,6516353,21619,306,1758,6977,12578,206016,50571,140630,14815
IOWA,FALSE,2011,9115,FALSE,FALSE,3064097,7883,44,866,824,6149,72043,17573,50472,3998
KANSAS,FALSE,2011,9330,FALSE,FALSE,2870386,10209,111,1122,1448,7528,88655,18712,63259,6684
KENTUCKY,FALSE,2011,14001,FALSE,FALSE,4366814,10465,151,1499,3705,5110,119037,32750,79586,6701
LOUISIANA,FALSE,2011,18844,FALSE,FALSE,4574766,25373,506,1262,5235,18370,168529,46242,113174,9113
MAINE,FALSE,2011,1978,FALSE,FALSE,1328544,1638,26,394,370,848,33829,7865,24886,1078
MARYLAND,FALSE,2011,23001,FALSE,FALSE,5839572,28817,399,1200,10342,16876,166846,35823,114951,16072
MASSACHUSETTS,FALSE,2011,11467,FALSE,FALSE,6607003,28232,184,1654,6768,19626,148829,36403,101644,10782
MICHIGAN,FALSE,2011,42904,FALSE,FALSE,9876801,43731,617,4344,10263,28507,251329,69755,156666,24908
MINNESOTA,FALSE,2011,9309,FALSE,FALSE,5347299,12323,75,2113,3385,6750,136183,25681,102354,8148
MISSISSIPPI,FALSE,2011,15390,FALSE,FALSE,2977457,8009,232,863,2496,4418,89809,30722,54179,4908
MISSOURI,FALSE,2011,30969,FALSE,FALSE,6008984,26888,366,1469,6275,18778,199085,44875,138879,15331
MONTANA,FALSE,2011,3125,TRUE,FALSE,997667,2755,29,366,171,2189,23885,3347,19089,1449
NEBRASKA,FALSE,2011,4657,FALSE,FALSE,1842234,4672,68,699,993,2912,50894,8725,38060,4109
NEVADA,FALSE,2011,12159,FALSE,FALSE,2720028,15452,139,913,4308,10092,70075,20342,40156,9577
NEW HAMPSHIRE,FALSE,2011,2423,FALSE,FALSE,1317807,2864,16,581,509,1758,32756,6244,25398,1114
NEW JERSEY,FALSE,2011,23642,FALSE,FALSE,8834773,27203,380,1006,12209,13608,189719,43238,129066,17415
NEW MEXICO,FALSE,2011,6687,FALSE,FALSE,2078674,11904,158,856,1720,9170,73549,21419,46730,5400
NEW YORK,FALSE,2011,55196,FALSE,FALSE,19501616,77463,769,2751,28405,45538,371837,65227,287361,19249
NORTH CAROLINA,FALSE,2011,39662,FALSE,FALSE,9651103,33421,498,1959,9448,21516,337806,105534,215453,16819
NORTH DAKOTA,FALSE,2011,1385,FALSE,FALSE,684740,1699,24,266,91,1318,13334,2458,9891,985
OHIO,FALSE,2011,50961,FALSE,FALSE,11541007,35218,500,3679,15991,15048,380572,112901,246744,20927
OKLAHOMA,FALSE,2011,23750,FALSE,FALSE,3784163,17311,212,1410,3288,12401,127618,36462,80064,11092
OREGON,FALSE,2011,13728,FALSE,FALSE,3868229,9643,84,1239,2237,6083,121869,20704,92059,9106
PENNSYLVANIA,FALSE,2011,49710,FALSE,FALSE,12743948,46189,639,3339,16165,26046,283442,57966,208604,16872
RHODE ISLAND,TRUE,2011,3032,FALSE,FALSE,1050646,2586,20,319,744,1503,27976,6836,18765,2375
SOUTH CAROLINA,FALSE,2011,22363,FALSE,FALSE,4673348,27894,320,1678,4631,21265,183243,47351,122255,13637
SOUTH DAKOTA,FALSE,2011,3562,FALSE,FALSE,823593,2105,20,503,167,1415,15299,2927,11423,949
TENNESSEE,FALSE,2011,19831,FALSE,FALSE,6399787,38895,380,2095,8082,28338,230900,62830,153928,14142
TEXAS,FALSE,2011,159956,FALSE,FALSE,25631778,104734,1130,7486,28620,67498,892810,215755,613131,63924
UTAH,FALSE,2011,5294,FALSE,FALSE,2814347,5547,50,901,1079,3517,84084,13170,64727,6187
VERMONT,TRUE,2011,2053,FALSE,FALSE,626592,925,11,146,99,669,15086,3838,10720,528
VIRGINIA,FALSE,2011,30531,FALSE,FALSE,8104384,16014,304,1591,5425,8694,182902,30656,142476,9770
WASHINGTON,FALSE,2011,17109,FALSE,FALSE,6823267,20152,163,2320,5627,12042,244209,56561,162828,24820
WEST VIRGINIA,FALSE,2011,5149,FALSE,FALSE,1854908,5497,87,372,802,4236,39009,10245,26656,2108
WISCONSIN,FALSE,2011,22388,FALSE,FALSE,5709843,14268,138,1190,4600,8340,139912,27167,104472,8273
WYOMING,FALSE,2011,2162,FALSE,FALSE,567356,1245,18,146,71,1010,12878,1864,10493,521
ALABAMA,FALSE,2012,26768,FALSE,FALSE,4817528,21693,342,1296,5020,15035,168878,47481,111523,9874
ALASKA,TRUE,2012,6308,FALSE,FALSE,730307,4412,30,583,630,3169,20037,2950,15565,1522
ARIZONA,FALSE,2012,40013,FALSE,FALSE,6551149,28077,358,2282,7383,18054,231701,52911,159808,18982
ARKANSAS,FALSE,2012,14043,FALSE,FALSE,2949828,13851,174,1233,2310,10134,109389,32673,70982,5734
CALIFORNIA,FALSE,2012,132935,FALSE,FALSE,37999878,160944,1884,7837,56521,94702,1049465,245767,635090,168608
COLORADO,FALSE,2012,20328,FALSE,FALSE,5189458,15951,152,2122,3392,10285,139355,26163,101091,12101
CONNECTICUT,TRUE,2012,17164,FALSE,FALSE,3591765,10183,117,933,3709,5424,77169,14787,55904,6478
DELAWARE,TRUE,2012,6730,FALSE,FALSE,917053,5048,56,249,1498,3245,30707,7389,21880,1438
FLORIDA,FALSE,2012,99835,FALSE,FALSE,19320749,94087,1009,5260,23889,63929,632988,153563,442095,37330
GEORGIA,FALSE,2012,55178,FALSE,FALSE,9915646,37675,583,2143,12502,22447,339473,86992,223875,28606
HAWAII,TRUE,2012,5297,FALSE,FALSE,1390090,3378,21,279,1125,1953,43419,7653,31901,3865
IDAHO,FALSE,2012,7715,FALSE,FALSE,1595590,3348,30,495,243,2580,31825,7240,23203,1382
ILLINOIS,FALSE,2012,49348,FALSE,TRUE,12868192,53556,770,3581,19480,29725,332706,71100,235314,26292
INDIANA,FALSE,2012,28034,FALSE,FALSE,6537782,22544,307,1661,6601,13975,197994,47689,136668,13637
IOWA,FALSE,2012,8735,FALSE,FALSE,3075039,8167,49,901,962,6255,70357,17201,49116,4040
KANSAS,FALSE,2012,9505,FALSE,FALSE,2885398,10292,85,1105,1493,7609,91066,18874,65413,6779
KENTUCKY,FALSE,2012,12998,FALSE,FALSE,4379730,9852,201,1312,3547,4792,112800,29877,76199,6724
LOUISIANA,FALSE,2012,18601,FALSE,FALSE,4602134,22839,489,1155,5458,15737,162673,42037,112764,7872
MAINE,FALSE,2012,1977,FALSE,FALSE,1328501,1626,26,372,420,808,33398,7476,24931,991
MARYLAND,FALSE,2012,21810,FALSE,FALSE,5884868,28086,373,1237,10173,16303,162309,33803,113550,14956
MASSACHUSETTS,FALSE,2012,11127,FALSE,FALSE,6645303,27047,121,1650,6555,18721,143325,34635,99453,9237
MICHIGAN,FALSE,2012,43594,FALSE,FALSE,9882519,44962,701,4635,10423,29203,249249,65560,158609,25080
MINNESOTA,FALSE,2012,9421,FALSE,FALSE,5379646,12419,99,1638,3475,7207,138152,25378,104316,8458
MISSISSIPPI,FALSE,2012,15791,FALSE,FALSE,2986450,7769,213,819,2277,4460,83933,28084,51520,4329
MISSOURI,FALSE,2012,31205,FALSE,FALSE,6024522,27189,390,1527,5782,19490,199813,42510,140971,16332
MONTANA,FALSE,2012,3095,FALSE,FALSE,1005494,2803,29,392,202,2180,26102,3920,20484,1698
NEBRASKA,FALSE,2012,4721,FALSE,FALSE,1855350,4802,52,710,1128,2912,51203,8745,38301,4157
NEVADA,FALSE,2012,12594,FALSE,FALSE,2754354,16763,124,931,4918,10790,77510,22120,45372,10018
NEW HAMPSHIRE,FALSE,2012,2568,FALSE,FALSE,1321617,2841,15,486,471,1869,32074,5988,25024,1062
NEW JERSEY,FALSE,2012,23050,FALSE,FALSE,8867749,25727,388,1035,11385,12919,181481,42338,122662,16481
NEW MEXICO,FALSE,2012,6640,FALSE,FALSE,2083540,11660,116,957,1847,8740,75094,21384,48247,5463
NEW YORK,FALSE,2012,54058,TRUE,FALSE,19576125,79535,683,2837,28633,47382,375268,64389,293562,17317
NORTH CAROLINA,FALSE,2012,37378,FALSE,FALSE,9748364,34464,479,1984,9392,22609,328594,99323,213151,16120
NORTH DAKOTA,FALSE,2012,1413,FALSE,FALSE,701345,1723,25,279,127,1292,14297,2429,10687,1181
OHIO,FALSE,2012,50872,FALSE,FALSE,11553031,34827,478,3813,15396,15140,370435,105312,245372,19751
OKLAHOMA,FALSE,2012,24370,FALSE,FALSE,3815780,18102,220,1622,3248,13012,130969,36094,83131,11744
OREGON,FALSE,2012,14123,FALSE,FALSE,3899801,9638,91,1159,2419,5969,126417,22051,94114,10252
PENNSYLVANIA,FALSE,2012,50228,FALSE,FALSE,12764475,45384,707,3371,15735,25571,276562,57040,204409,15113
RHODE ISLAND,TRUE,2012,3042,FALSE,FALSE,1050304,2657,36,292,715,1614,27039,5929,18478,2632
SOUTH CAROLINA,FALSE,2012,21867,FALSE,FALSE,4723417,26474,332,1712,4511,19919,181049,45222,122340,13487
SOUTH DAKOTA,FALSE,2012,3596,FALSE,FALSE,834047,2701,23,600,157,1921,17326,3280,12973,1073
TENNESSEE,FALSE,2012,19817,FALSE,FALSE,6454914,41213,400,2047,8151,30615,217925,56231,148731,12963
TEXAS,FALSE,2012,155195,FALSE,FALSE,26060796,106475,1148,7715,30385,67227,876459,205002,606425,65032
UTAH,FALSE,2012,5309,FALSE,FALSE,2854871,5939,52,975,1105,3807,86284,13095,67157,6032
VERMONT,TRUE,2012,2034,FALSE,FALSE,625953,891,8,131,114,638,15653,4179,11014,460
VIRGINIA,FALSE,2012,29708,FALSE,FALSE,8186628,15676,322,1505,4718,9131,178434,29651,139654,9129
WASHINGTON,FALSE,2012,16919,FALSE,FALSE,6895318,20553,217,2250,5801,12285,254377,61376,166338,26663
WEST VIRGINIA,FALSE,2012,5335,FALSE,FALSE,1856680,5943,70,415,835,4623,44500,11466,30800,2234
WISCONSIN,FALSE,2012,22419,FALSE,FALSE,5724554,16254,169,1228,4692,10165,140780,27931,104619,8230
WYOMING,FALSE,2012,2187,FALSE,FALSE,576626,1161,14,154,61,932,13222,2125,10513,584
ALABAMA,FALSE,2013,26825,FALSE,FALSE,4833996,20834,346,1449,4645,13788,161835,42410,108862,10563
ALASKA,TRUE,2013,5081,FALSE,FALSE,737259,4709,34,657,623,3127,21211,2917,16599,1695
ARIZONA,FALSE,2013,41031,FALSE,FALSE,6634997,27576,355,2344,6656,17391,223294,48292,158036,16966
ARKANSAS,FALSE,2013,14295,FALSE,FALSE,2958765,13705,158,1135,2261,9796,106477,30369,70430,5678
CALIFORNIA,FALSE,2013,134339,FALSE,FALSE,38431393,154739,1746,7464,53640,89029,1018907,232058,621557,165292
COLORADO,FALSE,2013,20184,FALSE,FALSE,5272086,16099,174,2198,3136,9826,139974,25075,102375,12524
CONNECTICUT,TRUE,2013,17319,FALSE,FALSE,3599341,9439,91,647,3551,4906,71274,12934,52099,6241
DELAWARE,TRUE,2013,6798,FALSE,FALSE,925240,4633,41,278,1233,2960,29001,6299,21347,1355
FLORIDA,FALSE,2013,100940,FALSE,FALSE,19600311,91993,972,4765,23200,61054,607170,138915,433344,34911
GEORGIA,FALSE,2013,53701,FALSE,FALSE,9994759,37519,563,2022,12704,21361,339808,83459,229190,27159
HAWAII,TRUE,2013,5173,FALSE,FALSE,1408987,3585,32,366,934,2111,45266,7777,32928,4561
IDAHO,FALSE,2013,7219,FALSE,FALSE,1612843,3471,29,516,220,2548,30230,6693,21999,1538
ILLINOIS,FALSE,2013,48653,FALSE,TRUE,12890552,51956,722,3895,17733,28161,296048,59093,216059,20896
INDIANA,FALSE,2013,28495,FALSE,FALSE,6570713,23627,357,1623,7114,13915,187472,42754,130534,14184
IOWA,FALSE,2013,8707,FALSE,FALSE,3092341,8443,41,873,937,6332,67976,15918,47803,4255
KANSAS,FALSE,2013,9610,FALSE,FALSE,2895801,9928,117,1003,1339,7177,85704,17476,61557,6671
KENTUCKY,FALSE,2013,12141,FALSE,FALSE,4399583,9280,172,951,3247,4215,104448,26331,72048,6069
LOUISIANA,FALSE,2013,18794,FALSE,FALSE,4629284,24127,494,1248,5539,16331,165679,41214,115300,9165
MAINE,FALSE,2013,2073,FALSE,FALSE,1328702,1761,24,366,335,907,30454,6480,23063,911
MARYLAND,FALSE,2013,21705,FALSE,FALSE,5938737,28235,384,1179,10048,16124,157918,31950,112551,13417
MASSACHUSETTS,FALSE,2013,10622,FALSE,FALSE,6708874,27264,138,1722,6705,18118,137274,30716,97437,9121
MICHIGAN,FALSE,2013,43704,FALSE,FALSE,9898193,44757,625,4506,10093,27254,230135,56256,149794,24085
MINNESOTA,FALSE,2013,9391,FALSE,FALSE,5422060,12710,114,1453,3674,6908,131193,22713,100514,7966
MISSISSIPPI,FALSE,2013,15591,FALSE,FALSE,2992206,8303,217,726,2413,4649,81548,24969,52192,4387
MISSOURI,FALSE,2013,31499,FALSE,FALSE,6044917,26216,369,1679,5486,18056,189655,38797,134514,16344
MONTANA,FALSE,2013,3125,FALSE,FALSE,1014864,2924,23,382,217,2217,26195,4122,20192,1881
NEBRASKA,FALSE,2013,5012,FALSE,FALSE,1868969,4949,56,621,1035,3011,49197,8945,35791,4461
NEVADA,FALSE,2013,12789,FALSE,FALSE,2791494,16888,163,1090,5183,10060,79177,23047,46132,9998
NEW HAMPSHIRE,FALSE,2013,2623,FALSE,FALSE,1322616,2952,21,522,647,1506,29278,4979,23355,944
NEW JERSEY,FALSE,2013,22263,FALSE,FALSE,8911502,25748,404,861,12084,12071,167634,35883,118005,13746
NEW MEXICO,FALSE,2013,6767,FALSE,FALSE,2086895,12990,123,1135,1832,9470,78958,21828,51146,5984
NEW YORK,FALSE,2013,53312,FALSE,FALSE,19695680,77563,644,2575,27241,46130,358603,56444,286676,15483
NORTH CAROLINA,FALSE,2013,37176,FALSE,FALSE,9848917,33587,463,1790,9275,21325,305631,90182,201043,14406
NORTH DAKOTA,FALSE,2013,1576,FALSE,FALSE,723857,1979,16,288,161,1447,15356,2979,10942,1435
OHIO,FALSE,2013,51711,FALSE,FALSE,11572005,33722,478,3594,14483,14370,338414,91090,227799,19525
OKLAHOMA,FALSE,2013,25364,FALSE,FALSE,3853118,17187,198,1715,3023,11652,126418,33512,81624,11282
OREGON,FALSE,2013,14605,FALSE,FALSE,3928068,9536,82,1000,2394,5596,125083,20808,94363,9912
PENNSYLVANIA,FALSE,2013,49971,FALSE,FALSE,12781296,42825,611,2728,14739,23680,263176,52000,197410,13766
RHODE ISLAND,TRUE,2013,3168,FALSE,FALSE,1053354,2710,31,333,683,1547,25741,5621,17881,2239
SOUTH CAROLINA,FALSE,2013,21534,FALSE,FALSE,4771929,24263,305,1739,3965,17760,173261,40930,119730,12601
SOUTH DAKOTA,FALSE,2013,3612,FALSE,FALSE,845510,2733,18,454,156,2052,16274,3383,11955,936
TENNESSEE,FALSE,2013,20758,FALSE,FALSE,6497269,38063,335,1904,7333,27895,207683,51334,144443,11906
TEXAS,FALSE,2013,155377,FALSE,FALSE,26505637,108757,1140,7610,31810,65351,862289,191062,605440,65787
UTAH,FALSE,2013,5382,FALSE,FALSE,2902787,6644,51,926,1247,3824,88334,13727,67115,7492
VERMONT,TRUE,2013,2078,FALSE,FALSE,626855,775,10,113,75,554,13882,3352,10193,337
VIRGINIA,FALSE,2013,29985,FALSE,FALSE,8270345,16355,320,1476,4574,9111,171558,26717,136215,8626
WASHINGTON,FALSE,2013,17760,FALSE,FALSE,6973742,20223,167,2072,5829,11623,259139,58487,172227,28425
WEST VIRGINIA,FALSE,2013,5708,FALSE,FALSE,1853595,5657,62,367,653,4242,39929,9908,28055,1966
WISCONSIN,FALSE,2013,22443,FALSE,FALSE,5742953,16118,163,1308,4834,9285,125694,24358,93946,7390
WYOMING,FALSE,2013,2288,FALSE,FALSE,583223,1212,17,144,74,917,12809,1956,10275,578
ALABAMA,FALSE,2014,26145,FALSE,FALSE,4849377,20727,276,1436,4701,13745,154094,39715,104238,10141
ALASKA,TRUE,2014,6323,FALSE,FALSE,736732,4684,41,555,629,3243,20334,3150,15445,1739
ARIZONA,FALSE,2014,42136,FALSE,FALSE,6731484,26916,319,2464,6249,16970,215240,43562,154091,17587
ARKANSAS,FALSE,2014,15250,FALSE,FALSE,2966369,14243,165,1182,2050,10265,99018,24790,68627,5601
CALIFORNIA,FALSE,2014,134430,FALSE,FALSE,38802500,153709,1699,8398,48680,91803,947192,202670,592670,151852
COLORADO,FALSE,2014,20469,FALSE,FALSE,5355866,16554,151,2121,3039,10325,135510,23472,99464,12574
CONNECTICUT,TRUE,2014,16814,FALSE,FALSE,3596677,8522,86,571,3159,4495,69070,11955,51005,6110
DELAWARE,TRUE,2014,6730,FALSE,FALSE,935614,4576,54,249,1269,2867,27900,5768,20865,1267
FLORIDA,FALSE,2014,100873,FALSE,FALSE,19893297,107521,1149,6051,24914,72895,679446,143220,493647,42579
GEORGIA,FALSE,2014,52719,FALSE,FALSE,10097343,38097,580,2159,12417,22052,331316,76428,228034,26854
HAWAII,TRUE,2014,5390,FALSE,FALSE,1419561,3680,26,314,1107,2102,43297,7778,31640,3879
IDAHO,FALSE,2014,7497,FALSE,FALSE,1634464,3468,32,468,204,2623,30316,6428,22227,1661
ILLINOIS,FALSE,2014,48278,FALSE,TRUE,12880580,47663,685,3081,15299,27520,267385,50008,199926,17451
INDIANA,FALSE,2014,32493,FALSE,FALSE,6596855,24099,330,1615,6897,14686,174776,36893,124022,13861
IOWA,FALSE,2014,8845,FALSE,FALSE,3107126,8497,60,828,1045,6264,65056,14428,46477,4151
KANSAS,FALSE,2014,9539,FALSE,FALSE,2904021,10123,91,1075,1362,7259,79431,15828,56697,6906
KENTUCKY,FALSE,2014,12114,FALSE,FALSE,4413457,9340,160,883,3336,4404,99166,23244,69604,6318
LOUISIANA,FALSE,2014,18710,FALSE,FALSE,4649676,23934,477,992,5695,16387,160824,38337,112596,9891
MAINE,FALSE,2014,2199,FALSE,FALSE,1330089,1700,21,360,304,890,26421,5030,20592,799
MARYLAND,FALSE,2014,21266,FALSE,FALSE,5976407,26661,365,1144,9544,15133,149859,28012,108745,13102
MASSACHUSETTS,FALSE,2014,10447,FALSE,FALSE,6745408,26399,132,1629,6036,18051,125267,24964,92043,8260
MICHIGAN,FALSE,2014,43359,FALSE,FALSE,9909877,42348,535,4049,8021,27519,202547,44184,137206,21157
MINNESOTA,FALSE,2014,9576,FALSE,FALSE,5457173,12505,88,1452,3687,6729,125377,20773,96237,8367
MISSISSIPPI,FALSE,2014,13069,FALSE,FALSE,2994079,8338,258,764,2430,4592,87462,24352,58591,4519
MISSOURI,FALSE,2014,31903,FALSE,FALSE,6063589,26856,403,1706,5592,18482,176237,35258,124622,16357
MONTANA,FALSE,2014,3119,FALSE,FALSE,1023579,3313,37,430,203,2532,25312,3595,19674,2043
NEBRASKA,FALSE,2014,5228,FALSE,FALSE,1881503,5275,54,620,1043,3316,47479,7950,35074,4455
NEVADA,FALSE,2014,12693,FALSE,FALSE,2839099,18045,170,995,5954,10564,74538,21927,42426,10185
NEW HAMPSHIRE,FALSE,2014,2723,FALSE,FALSE,1326813,2602,12,458,537,1459,26041,4162,21022,857
NEW JERSEY,FALSE,2014,21394,FALSE,FALSE,8938175,23346,349,953,10498,11225,154993,31710,111578,11705
NEW MEXICO,FALSE,2014,6948,FALSE,FALSE,2085572,12459,101,1071,2086,8797,73877,18505,49082,6290
NEW YORK,FALSE,2014,52362,FALSE,FALSE,19746227,75398,617,3918,24045,45303,339282,50781,272765,15736
NORTH CAROLINA,FALSE,2014,37348,FALSE,FALSE,9943964,32767,510,1740,8416,21421,285697,79373,192694,13630
NORTH DAKOTA,FALSE,2014,1696,FALSE,FALSE,739482,1960,22,276,173,1407,15605,2707,11384,1514
OHIO,FALSE,2014,51521,FALSE,FALSE,11594163,33030,464,4097,12753,14771,324528,78845,227668,18015
OKLAHOMA,FALSE,2014,26493,FALSE,FALSE,3878051,15744,175,1277,3048,10744,115982,29508,75891,10583
OREGON,FALSE,2014,14492,FALSE,FALSE,3970239,9224,81,1052,2093,5592,114305,17230,87526,9549
PENNSYLVANIA,FALSE,2014,49174,FALSE,FALSE,12787209,40164,614,2787,13534,22189,247016,45720,188256,13040
RHODE ISLAND,TRUE,2014,3133,FALSE,FALSE,1055173,2313,25,253,529,1398,22935,4823,16279,1833
SOUTH CAROLINA,FALSE,2014,20948,FALSE,FALSE,4832482,24052,311,1480,3997,17676,167217,36721,117594,12902
SOUTH DAKOTA,FALSE,2014,3507,FALSE,FALSE,853175,2786,20,413,200,2096,15902,2818,12077,1007
TENNESSEE,FALSE,2014,20815,FALSE,FALSE,6549352,39848,371,1861,7265,29681,200447,46642,141206,12599
TEXAS,FALSE,2014,154247,FALSE,FALSE,26956958,109414,1184,8236,31181,65656,813934,169234,576154,68546
UTAH,FALSE,2014,5307,FALSE,FALSE,2942902,6346,67,945,1312,3513,84711,11518,65895,7298
VERMONT,TRUE,2014,1979,FALSE,FALSE,626562,622,10,99,70,432,9551,2034,7273,244
VIRGINIA,FALSE,2014,30050,FALSE,FALSE,8326289,16340,338,1432,4292,9400,160720,23122,129933,7665
WASHINGTON,FALSE,2014,17180,FALSE,FALSE,7061530,20136,174,2171,5640,11627,261706,55290,175769,30647
WEST VIRGINIA,FALSE,2014,5867,FALSE,FALSE,1850326,5588,74,285,651,4358,37648,8973,26779,1896
WISCONSIN,FALSE,2014,22572,FALSE,FALSE,5757564,16714,165,1168,5066,9809,120238,21216,89103,9919
WYOMING,FALSE,2014,2369,FALSE,FALSE,584153,1142,16,126,53,899,11477,1689,9185,603
ALABAMA,FALSE,2015,25212,FALSE,FALSE,4858979,22952,348,1456,4611,15954,144746,35255,99156,10335
ALASKA,TRUE,2015,5247,FALSE,FALSE,738432,5392,59,650,761,3671,20806,3511,15249,2046
ARIZONA,FALSE,2015,42204,FALSE,FALSE,6828065,28012,309,2294,6360,18235,207107,37957,152365,16785
ARKANSAS,FALSE,2015,15784,FALSE,FALSE,2978204,15526,181,1300,2098,11316,96836,22640,68424,5772
CALIFORNIA,FALSE,2015,127815,FALSE,FALSE,39144818,166883,1861,9387,52862,99349,1024914,197404,656517,170993
COLORADO,FALSE,2015,19959,FALSE,FALSE,5456574,17515,176,2377,3323,10759,144136,23454,104682,16000
CONNECTICUT,TRUE,2015,16024,FALSE,FALSE,3590886,7845,117,582,2892,4063,65066,10053,48675,6338
DELAWARE,TRUE,2015,6437,FALSE,FALSE,945934,4720,63,243,1235,3081,25455,4773,19501,1181
FLORIDA,FALSE,2015,99485,FALSE,FALSE,20271272,93626,1041,5430,21137,63895,570270,109268,420341,40661
GEORGIA,FALSE,2015,52002,TRUE,FALSE,10214860,38643,615,2296,12247,22557,308723,66374,215867,26482
HAWAII,TRUE,2015,5413,FALSE,FALSE,1431603,4201,19,400,1203,2418,54346,6557,42010,5779
IDAHO,FALSE,2015,7238,FALSE,FALSE,1654930,3568,32,533,192,2650,28858,6124,20863,1871
ILLINOIS,FALSE,2015,46240,FALSE,FALSE,12859995,49354,744,3549,14910,28879,255729,46443,191634,17652
INDIANA,FALSE,2015,26586,FALSE,FALSE,6619680,25653,373,1789,7111,15765,171847,34410,123918,13519
IOWA,FALSE,2015,8864,FALSE,FALSE,3123899,8936,72,851,1047,6661,63957,14892,44723,4342
KANSAS,FALSE,2015,9533,FALSE,FALSE,2911641,11353,128,1251,1818,7792,79199,15362,56880,6957
KENTUCKY,FALSE,2015,11959,FALSE,FALSE,4425092,9676,209,997,3307,4668,96362,22260,66320,7782
LOUISIANA,FALSE,2015,18447,FALSE,FALSE,4670724,25208,481,1260,5550,17454,156629,35453,111435,9741
MAINE,FALSE,2015,2190,FALSE,FALSE,1329328,1729,23,354,311,921,24327,4684,18829,814
MARYLAND,FALSE,2015,20951,FALSE,FALSE,6006401,27462,516,1184,9863,15417,139048,25678,100219,13151
MASSACHUSETTS,FALSE,2015,9493,FALSE,FALSE,6794422,26562,128,1608,5288,19071,114871,21890,84912,8069
MICHIGAN,FALSE,2015,42628,FALSE,FALSE,9922576,41231,571,4163,7796,26414,187101,40041,131296,15764
MINNESOTA,FALSE,2015,9578,FALSE,FALSE,5489594,13319,133,1686,3771,7094,121984,19299,94704,7981
MISSISSIPPI,FALSE,2015,13967,FALSE,FALSE,2992333,8254,259,862,2294,4498,84790,24799,55748,4243
MISSOURI,FALSE,2015,32295,FALSE,FALSE,6083672,30261,502,1854,6376,20830,173642,34006,122637,16999
MONTANA,FALSE,2015,3176,FALSE,FALSE,1032949,3611,36,431,210,2818,27100,3838,20844,2418
