Leaf Spots,Leaf Color,Drooping,Soil Moisture,Plant Health
none,green,no,dry,Healthy
none,green,no,damp,Healthy
none,green,no,wet,Healthy
none,green,yes,dry,Healthy
none,green,yes,damp,Healthy
none,green,yes,wet,Sick
none,pale,no,dry,Healthy
none,pale,no,damp,Healthy
none,pale,no,wet,Healthy
none,pale,yes,dry,Healthy
none,pale,yes,damp,Healthy
none,pale,yes,wet,Sick
none,yellow,no,dry,Healthy
none,yellow,no,damp,Healthy
none,yellow,no,wet,Healthy
none,yellow,yes,dry,Healthy
none,yellow,yes,damp,Healthy
none,yellow,yes,wet,Sick
few,green,no,dry,Healthy
few,green,no,damp,Healthy
few,green,no,wet,Healthy
few,green,yes,dry,Healthy
few,green,yes,damp,Healthy
few,green,yes,wet,Sick
few,pale,no,dry,Healthy
few,pale,no,damp,Healthy
few,pale,no,wet,Healthy
few,pale,yes,dry,Healthy
few,pale,yes,damp,Healthy
few,pale,yes,wet,Sick
few,yellow,no,dry,Healthy
few,yellow,no,damp,Healthy
few,yellow,no,wet,Healthy
few,yellow,yes,dry,Healthy
few,yellow,yes,damp,Healthy
few,yellow,yes,wet,Sick
many,green,no,dry,Sick
many,green,no,damp,Sick
many,green,no,wet,Sick
many,green,yes,dry,Sick
many,green,yes,damp,Sick
many,green,yes,wet,Sick
many,pale,no,dry,Sick
many,pale,no,damp,Sick
many,pale,no,wet,Sick
many,pale,yes,dry,Sick
many,pale,yes,damp,Sick
many,pale,yes,wet,Sick
many,yellow,no,dry,Sick
many,yellow,no,damp,Sick
many,yellow,no,wet,Sick
many,yellow,yes,dry,Sick
many,yellow,yes,damp,Sick
many,yellow,yes,wet,Sick
