Year,Day,Month,AverageTemperature,AverageTemperatureUncertainty,Country
1995,1,1,-0.866,0.365,Åland
1995,1,2,0.909,0.644,Åland
1995,1,3,1.167,0.318,Åland
1995,1,4,2.266,0.444,Åland
1995,1,5,6.624,0.273,Åland
1995,1,6,13.494,0.467,Åland
1995,1,7,15.335,0.6,Åland
1995,1,8,16.052,0.502,Åland
1995,1,9,12.001,0.257,Åland
1995,1,10,9.619,0.257,Åland
1995,1,11,1.299,0.5,Åland
1995,1,12,-3.498,0.922,Åland
1996,1,1,-2.474,0.422,Åland
1996,1,2,-6.921,0.579,Åland
1996,1,3,-2.117,0.414,Åland
1996,1,4,2.747,0.434,Åland
1996,1,5,5.84,0.284,Åland
1996,1,6,11.727,0.49,Åland
1996,1,7,14.11,0.231,Åland
1996,1,8,17.922,0.287,Åland
1996,1,9,10.598,0.522,Åland
1996,1,10,8.56,0.257,Åland
1996,1,11,4.186,0.224,Åland
1996,1,12,-1.342,0.526,Åland
1997,1,1,-0.646,0.497,Åland
1997,1,2,-0.406,0.39,Åland
1997,1,3,0.967,0.434,Åland
1997,1,4,1.74,0.457,Åland
1997,1,5,6.329,0.379,Åland
1997,1,6,13.598,0.422,Åland
1997,1,7,17.653,0.458,Åland
1997,1,8,19.173,0.391,Åland
1997,1,9,12.726,0.327,Åland
1997,1,10,5.358,0.289,Åland
1997,1,11,2.898,0.263,Åland
1997,1,12,0.701,0.324,Åland
1998,1,1,0.931,0.489,Åland
1998,1,2,0.322,0.485,Åland
1998,1,3,-1.105,0.587,Åland
1998,1,4,2.145,0.383,Åland
1998,1,5,7.39,0.29,Åland
1998,1,6,10.879,0.418,Åland
1998,1,7,14.78,0.355,Åland
1998,1,8,13.798,0.292,Åland
1998,1,9,12.368,0.303,Åland
1998,1,10,7.05,0.297,Åland
1998,1,11,0.823,0.309,Åland
1998,1,12,0.714,0.451,Åland
1999,1,1,-1.784,0.334,Åland
1999,1,2,-2.633,0.403,Åland
1999,1,3,-0.072,0.333,Åland
1999,1,4,4.087,0.212,Åland
1999,1,5,6.826,0.276,Åland
1999,1,6,14.124,0.433,Åland
1999,1,7,17.239,0.383,Åland
1999,1,8,15.362,0.351,Åland
1999,1,9,14.599,0.255,Åland
1999,1,10,8.173,0.185,Åland
1999,1,11,5.246,0.547,Åland
1999,1,12,0.001,0.536,Åland
2000,1,1,0.197,0.407,Åland
2000,1,2,-0.023,0.399,Åland
2000,1,3,0.615,0.429,Åland
2000,1,4,4.124,0.348,Åland
2000,1,5,8.557,0.447,Åland
2000,1,6,11.742,0.291,Åland
2000,1,7,14.655,0.543,Åland
2000,1,8,15.008,0.373,Åland
2000,1,9,11.475,0.255,Åland
2000,1,10,10.428,0.277,Åland
2000,1,11,7.133,0.469,Åland
2000,1,12,3.489,0.538,Åland
2001,1,1,0.591,0.49,Åland
2001,1,2,-4.174,0.462,Åland
2001,1,3,-1.903,0.499,Åland
2001,1,4,3.448,0.375,Åland
2001,1,5,7.588,0.225,Åland
2001,1,6,12.426,0.308,Åland
2001,1,7,17.797,0.535,Åland
2001,1,8,16.03,0.235,Åland
2001,1,9,12.618,0.331,Åland
2001,1,10,9.686,0.182,Åland
2001,1,11,3.724,0.252,Åland
2001,1,12,-1.013,0.38,Åland
2002,1,1,-0.769,0.369,Åland
2002,1,2,0.942,0.342,Åland
2002,1,3,1.09,0.282,Åland
2002,1,4,4.164,0.246,Åland
2002,1,5,9.461,0.25,Åland
2002,1,6,14.961,0.357,Åland
2002,1,7,17.572,0.407,Åland
2002,1,8,19.613,0.251,Åland
2002,1,9,12.564,0.266,Åland
2002,1,10,3.781,0.432,Åland
2002,1,11,1.051,0.241,Åland
2002,1,12,-2.817,0.439,Åland
