Category,Description,Ash,Beta Carotene,Carbohydrate,Cholesterol,Fiber,Kilocalories,Lutein and Zeaxanthin,Lycopene,Manganese,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat: Monosaturated Fat,Fat: Polysaturated Fat,Fat: Saturated Fat,Fat: Total Lipid,Major Minerals: Calcium,Major Minerals: Copper,Major Minerals: Iron,Major Minerals: Magnesium,Major Minerals: Phosphorus,Major Minerals: Potassium,Major Minerals: Sodium,Major Minerals: Zinc,Vitamins: Vitamin A - IU,Vitamins: Vitamin A - RAE,Vitamins: Vitamin B12,Vitamins: Vitamin B6,Vitamins: Vitamin C,Vitamins: Vitamin E,Vitamins: Vitamin K
Butter,"Butter,With Salt",2.11,158,0.06,215,0,717,0,0,0,0.042,0.85,671,0.034,1,0.059999999,0.005,15.87,21.021,3.043,51.368,81.11,24,0,0.02,2,24,24,576,0.09,2499,684,0.17,0.003,0,2.32,7
Butter,"Butter,Whipped,With Salt",2.11,158,0.06,219,0,717,0,0,0.004,0.042,0.85,671,0.034,1,0.059999999,0.005,15.87,23.426,3.012,50.489,81.11,24,0.016,0.16,2,23,26,827,0.05,2499,684,0.13,0.003,0,2.32,7
Butter Oil,"Butter Oil,Anhydrous",0,193,0,256,0,876,0,0,0,0.003,0.28,824,0.005,0,0,0.001,0.24,28.732,3.694,61.924,99.48,4,0.001,0,0,3,5,2,0.01,3069,840,0.01,0.001,0,2.8,8.6
Cheese,"Cheese,Blue",5.11,74,2.34,75,0,353,0,0,0.009,1.016,21.4,192,0.382,14.5,0.5,0.029,42.41,7.778,0.8,18.669,28.74,528,0.04,0.31,23,387,256,1395,2.66,763,198,1.22,0.166,0,0.25,2.4
Cheese,"Cheese,Brick",3.18,76,2.79,94,0,371,0,0,0.012,0.118,23.24,286,0.351,14.5,0.50999999,0.014,41.11,8.598,0.784,18.764,29.68,674,0.024,0.43,24,451,136,560,2.6,1080,292,1.26,0.065,0,0.26,2.5
Cheese,"Cheese,Brie",2.7,9,0.45,100,0,334,0,0,0.034,0.38,20.75,173,0.52,14.5,0.449999988,0.07,48.42,8.013,0.826,17.41,27.68,184,0.019,0.5,20,188,152,629,2.38,592,174,1.65,0.235,0,0.24,2.3
Cheese,"Cheese,Camembert",3.68,12,0.46,72,0,300,0,0,0.038,0.63,19.8,240,0.488,14.5,0.460000008,0.028,51.8,7.023,0.724,15.259,24.26,388,0.021,0.33,20,347,187,842,2.38,820,241,1.3,0.227,0,0.21,2
Cheese,"Cheese,Caraway",3.28,0,3.06,93,0,376,0,0,0.021,0.18,25.18,262,0.45,14.5,0,0.031,39.28,8.275,0.83,18.584,29.2,673,0.024,0.64,22,490,93,690,2.94,1054,271,0.27,0.074,0,0,0
Cheese,"Cheese,Cheddar",3.93,85,1.28,105,0,403,0,0,0.01,0.08,24.9,258,0.375,13.9,0.519999981,0.027,36.75,9.391,0.942,21.092,33.14,721,0.031,0.68,28,512,98,621,3.11,1002,265,0.83,0.074,0,0.29,2.8
Cheese,"Cheese,Cheshire",3.6,0,4.78,103,0,387,0,0,0.012,0.08,23.37,220,0.293,14.5,0,0.046,37.65,8.671,0.87,19.475,30.6,643,0.042,0.21,21,464,95,700,2.79,985,233,0.83,0.074,0,0,0
