Sex,Age,Address,Family size,Parental status,Mother's education,Father's education,Mother's job,Father's job,Travel time,Study time,Failures,School support,Family support,Paid,Activities,Internet,Romantic,Family relationships,Free time,Daily alcohol,Weekly alcohol,Health,Absences,First semester grade,Second semester grade,Third semester grade
F,18,U,GT3,A,4,4,at_home,teacher,2,2,0,yes,no,no,no,no,no,4,3,1,1,3,6,5,6,6
F,17,U,GT3,T,1,1,at_home,other,1,2,0,no,yes,no,no,yes,no,5,3,1,1,3,4,5,5,6
F,15,U,LE3,T,1,1,at_home,other,1,2,3,yes,no,yes,no,yes,no,4,3,2,3,3,10,7,8,10
F,15,U,GT3,T,4,2,health,services,1,3,0,no,yes,yes,yes,yes,yes,3,2,1,1,5,2,15,14,15
F,16,U,GT3,T,3,3,other,other,1,2,0,no,yes,yes,no,no,no,4,3,1,2,5,4,6,10,10
M,16,U,LE3,T,4,3,services,other,1,2,0,no,yes,yes,yes,yes,no,5,4,1,2,5,10,15,15,15
M,16,U,LE3,T,2,2,other,other,1,2,0,no,no,no,no,yes,no,4,4,1,1,3,0,12,12,11
F,17,U,GT3,A,4,4,other,teacher,2,2,0,yes,yes,no,no,no,no,4,1,1,1,1,6,6,5,6
M,15,U,LE3,A,3,2,services,other,1,2,0,no,yes,yes,no,yes,no,4,2,1,1,1,0,16,18,19
M,15,U,GT3,T,3,4,other,other,1,2,0,no,yes,yes,yes,yes,no,5,5,1,1,5,0,14,15,15
F,15,U,GT3,T,4,4,teacher,health,1,2,0,no,yes,yes,no,yes,no,3,3,1,2,2,0,10,8,9
F,15,U,GT3,T,2,1,services,other,3,3,0,no,yes,no,yes,yes,no,5,2,1,1,4,4,10,12,12
M,15,U,LE3,T,4,4,health,services,1,1,0,no,yes,yes,yes,yes,no,4,3,1,3,5,2,14,14,14
M,15,U,GT3,T,4,3,teacher,other,2,2,0,no,yes,yes,no,yes,no,5,4,1,2,3,2,10,10,11
M,15,U,GT3,A,2,2,other,other,1,3,0,no,yes,no,no,yes,yes,4,5,1,1,3,0,14,16,16
F,16,U,GT3,T,4,4,health,other,1,1,0,no,yes,no,no,yes,no,4,4,1,2,2,4,14,14,14
F,16,U,GT3,T,4,4,services,services,1,3,0,no,yes,yes,yes,yes,no,3,2,1,2,2,6,13,14,14
F,16,U,GT3,T,3,3,other,other,3,2,0,yes,yes,no,yes,no,no,5,3,1,1,4,4,8,10,10
M,17,U,GT3,T,3,2,services,services,1,1,3,no,yes,no,yes,yes,no,5,5,2,4,5,16,6,5,5
M,16,U,LE3,T,4,3,health,other,1,1,0,no,no,yes,yes,yes,no,3,1,1,3,5,4,8,10,10
M,15,U,GT3,T,4,3,teacher,other,1,2,0,no,no,no,no,yes,no,4,4,1,1,1,0,13,14,15
M,15,U,GT3,T,4,4,health,health,1,1,0,no,yes,yes,no,yes,no,5,4,1,1,5,0,12,15,15
M,16,U,LE3,T,4,2,teacher,other,1,2,0,no,no,no,yes,yes,no,4,5,1,3,5,2,15,15,16
M,16,U,LE3,T,2,2,other,other,2,2,0,no,yes,no,yes,yes,no,5,4,2,4,5,0,13,13,12
F,15,R,GT3,T,2,4,services,health,1,3,0,yes,yes,yes,yes,yes,no,4,3,1,1,5,2,10,9,8
F,16,U,GT3,T,2,2,services,services,1,1,2,no,yes,yes,no,yes,no,1,2,1,3,5,14,6,9,8
M,15,U,GT3,T,2,2,other,other,1,1,0,no,yes,yes,no,yes,no,4,2,1,2,5,2,12,12,11
M,15,U,GT3,T,4,2,health,services,1,1,0,no,no,yes,no,yes,no,2,2,2,4,1,4,15,16,15
M,16,U,LE3,A,3,4,services,other,1,2,0,yes,yes,no,yes,yes,no,5,3,1,1,5,4,11,11,11
M,16,U,GT3,T,4,4,teacher,teacher,1,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,5,16,10,12,11
M,15,U,GT3,T,4,4,health,services,1,2,0,no,yes,yes,no,yes,no,5,4,3,4,5,0,9,11,12
M,15,U,GT3,T,4,4,services,services,2,2,0,no,yes,no,yes,yes,no,4,3,1,1,5,0,17,16,17
M,15,R,GT3,T,4,3,teacher,at_home,1,2,0,no,yes,no,yes,yes,yes,4,5,1,1,5,0,17,16,16
M,15,U,LE3,T,3,3,other,other,1,2,0,no,no,no,yes,yes,no,5,3,1,1,2,0,8,10,12
M,16,U,GT3,T,3,2,other,other,1,1,0,no,yes,yes,no,yes,no,5,4,1,1,5,0,12,14,15
F,15,U,GT3,T,2,3,other,other,2,1,0,no,yes,no,yes,no,no,3,5,1,1,5,0,8,7,6
M,15,U,LE3,T,4,3,teacher,services,1,3,0,no,yes,no,yes,yes,no,5,4,1,1,4,2,15,16,18
M,16,R,GT3,A,4,4,other,teacher,2,3,0,no,yes,no,yes,yes,yes,2,4,1,1,5,7,15,16,15
F,15,R,GT3,T,3,4,services,health,1,3,0,yes,yes,yes,yes,yes,no,4,3,1,1,5,2,12,12,11
F,15,R,GT3,T,2,2,at_home,other,1,1,0,yes,yes,yes,yes,no,no,4,3,1,1,2,8,14,13,13
F,16,U,LE3,T,2,2,other,other,2,2,1,no,yes,no,yes,yes,yes,3,3,1,2,3,25,7,10,11
M,15,U,LE3,T,4,4,teacher,other,1,1,0,no,yes,no,no,yes,yes,5,4,2,4,5,8,12,12,12
M,15,U,GT3,T,4,4,services,teacher,1,2,0,no,yes,no,yes,yes,no,4,3,1,1,5,2,19,18,18
M,15,U,GT3,T,2,2,services,services,1,1,0,yes,yes,no,no,yes,no,5,4,1,1,1,0,8,8,11
F,16,U,LE3,T,2,2,other,at_home,2,2,1,yes,no,no,yes,yes,no,4,3,2,2,5,14,10,10,9
F,15,U,LE3,A,4,3,other,other,1,2,0,yes,yes,yes,yes,yes,yes,5,2,1,1,5,8,8,8,6
F,16,U,LE3,A,3,3,other,services,1,2,0,no,yes,no,no,yes,no,2,3,1,4,3,12,11,12,11
M,16,U,GT3,T,4,3,health,services,1,4,0,no,no,no,yes,yes,no,4,2,1,1,2,4,19,19,20
M,15,U,GT3,T,4,2,teacher,other,1,2,0,no,yes,yes,no,no,no,4,3,2,2,5,2,15,15,14
F,15,U,GT3,T,4,4,services,teacher,1,2,1,yes,yes,no,yes,yes,no,4,4,1,1,3,2,7,7,7
F,16,U,LE3,T,2,2,services,services,3,2,0,no,yes,yes,no,yes,no,4,3,2,3,4,2,12,13,13
F,15,U,LE3,T,4,2,health,other,1,2,0,no,yes,yes,no,yes,no,4,3,1,1,5,2,11,13,13
M,15,U,LE3,A,4,2,health,health,2,1,1,no,no,no,no,no,no,5,5,3,4,5,6,11,11,10
