movie,tomatometer,audience
Jellyfish Eyes,20,50
Minions,55,51
Knock Knock,32,22
Partisan,59,45
Transporter Refueled,17,32
One & Two,25,38
The Kindergarten Teacher,71,52
Ant Man,80,88
Desert Dancer,30,73
Mississippi Grind,89,60
Being Evel,97,89
Amy,96,90
90 Minutes In Heaven,25,55
Momentum,27,26
LA Slasher,0,52
Yakuza Apocalypse,58,37
Lost in the Sun,20,56
Cooties,43,40
Some Kind of Beautiful,4,33
Tokyo Tribe,50,55
Goodnight Mommy,82,67
The Square,100,89
Shaun The Sheep,99,82
Once I Was A Beehive,83,83
American Ultra,44,48
Ricki and the Flash,64,48
A Hard Day,80,83
No Escape,47,65
Guidance,87,68
Sand Dollars (Dolares De Arena),93,40
Stations of the Elevated,100,67
The Stanford Prison Experiment,85,80
We Are Your Friends,41,43
Trash,63,68
The Man From U.N.C.L.E.,67,77
Gringo Trails,67,73
Kurt Cobain: Montage of Heck,97,82
Self/Less,21,49
Terminator Genisys,25,57
Tangerine,96,80
Mr. Holmes,87,74
Winning: The Racing Life of Paul Newman,89,95
Bound To Vengeance,11,39
Wild City,40,43
Ronaldo,20,46
Zarafa,76,66
Trainwreck,85,71
We'll Never Have Paris,24,16
Far From Men,80,78
Toy Story That Time Forgot,100,81
The End Of The Tour,91,86
Best Of Enemies,94,91
Digging For Fire,64,45
The Final Girls,72,72
Stung,54,26
Tap World,83,100
The Diabolical,43,25
Matt Shepard Is A Friend Of Mine,100,89
She's Funny That Way,38,37
Stations Of The Cross,91,79
Before We Go,25,60
Seymour: An Introduction,100,82
Kirk Cameron's Saving Christmas,0,30
The Girls In The Band,100,82
Vacation,27,50
Inside Out,98,90
"One Cut, One Life",100,83
Rebels Of The Neon God,100,76
The Gift,93,77
7 Chinese Brothers,74,54
The Human Centipede III,19,9
Max,36,72
Tu Dors Nicole,100,67
Pixels,17,49
Southpaw,60,77
Sunset Edge,69,50
Cut Snake,73,65
Z For Zachariah,78,47
The Wolfpack,84,72
"Dragon Ball Z: Resurrection ""F""",79,85
The Vatican Tapes,21,21
Jurassic World,71,79
San Andreas,49,54
Gueros,93,82
Testament Of Youth,82,78
Paper Towns,56,51
Hungry Hearts,61,53
The Forgotten Space,71,33
Seeds Of Time,67,67
