name,attempts
courseE_artist_functions8_2020,37
courseE_farmer_functions13_2020,32
courseD_artist_nestedLoops_challenge1_2020,30
courseC_harvester_loops_challenge2_2020,26
courseD_farmer_condLoops_challenge2_2020,25
courseE_artist_functions7_2020,25
courseD_bee_conditionals_challenge1_2020,21
courseE_farmer_functions8a1_2020,19
courseC_artist_prog7_2020,19
courseF_artist_variables6a_2020,18
courseE_artist_functions9_2020,18
courseD_bee_conditionals2_2020,18
courseF_artist_variables5_2020,17
courseE_farmer_functions2b_2020,17
courseD_artist_nestedLoops1a_2020,17
courseD_artist_nestedLoops9_2020,16
courseF_bee_for9_2020,16
courseD_maze_until9_2020,15
courseE_farmer_functions9a1_2020,15
courseA_artist_loops_challenge1_2020,15
courseB_artist_loops_challenge1_2020,15
courseF_bee_variables_7_2020,14
courseB_collector_loops_challenge1_2020,14
courseE_farmer_functions10a1_2020,14
courseE_artist_functions10_2020,14
courseF_bee_variables_5_2020,14
courseD_farmer_while_challenge1_2020,14
courseF_artist_variables4_2020,14
courseE_EOC_2020,13
courseF_bee_variables_3_2020,13
Course E: Artist Project_2020,13
courseF_bee_variables_6_2020,13
courseF_bee_for_challenge2_2020,13
courseC_harvester_loops6_2020,13
courseD_farmer_condLoops7_2020,12
courseB_collector_loops_challenge2a_2020,12
courseE_farmer_ramp12g_2020,12
courseD_farmer_condLoops2_2020,12
courseF_artist_for_challenge1_2020,12
courseC_maze_loops_challenge1a_2020,12
courseE_farmer_ramp12f_2020,12
courseF_artist_variables2_2020,12
courseD_collector_debugging6a_2020,11
courseC_starWars_loops7_2020,11
courseD_harvester_nested_loops_challenge1_2020,11
courseB_artist_loops_challenge2_2020,11
courseC_collector_prog6_2020,11
courseE_farmer_ramp12d_2020,11
courseD_collector_debugging5a_2020,11
courseE_artist_functions8c_2020,11
courseD_farmer_condLoops5_2020,11
courseD_farmer_while6_2020,10
courseE_artist_functions2_2020,10
courseF_artist_variables_challenge1_2020,10
courseD_maze_nestedLoops5_2020,10
courseD_artist_nestedLoops3_2020,10
courseE_farmer_functions1a_2020,10
courseD_artist_nestedLoopsFP_2020,10
courseE_farmer_functions2ba_2020,10
courseD_maze_nestedLoops6_2020,10
courseE_farmer_ramp11b_2020,9
Underground If Statements_2020,9
courseD_bee_nestedLoops2_2020,9
courseF_bee_variables_1_2020,9
courseD_farmer_condLoops6_2020,9
courseF_artist_variables8_2020,9
courseF_artist_for2_2020,9
courseC_artist_prog1_2020,9
courseD_artist_binary_challenge2_2020,9
courseF_artist_for10_2020,9
courseC_artist_prog_challenge1_2020,9
courseC_harvester_loops5_2020,9
courseC_harvester_loops_challenge1a_2020,9
courseC_starWars_loops8_2020,9
courseD_farmer_condLoops_challenge1_2020,9
courseD_collector_nested_loops_challenge2_2020,9
courseC_artist_prog6_2020,8
courseD_artist_binaryFP_2020,8
courseD_artist_binary_challenge1_2020,8
courseC_collector_prog_challenge2_2020,8
courseF_bee_for2_2020,8
courseC_artist_prog5_2020,8
courseF_bee_for_challenge1_2020,8
courseD_bee_conditionals5_2020,8
courseD_bee_conditionals_challenge2_2020,8
courseD_farmer_while7_2020,8
courseE_artist_functions5_2020,8
courseD_artist_nestedLoops7_2020,8
courseD_farmer_while10_2020,8
courseC_harvester_loops9_2020,8
courseE_farmer_functions3c_2020,8
courseE_farmer_functions3c1_2020,8
Course E: Frozen Project_2020,8
courseD_farmer_condLoops9_2020,8
courseC_collector_prog7_2020,8
courseE_farmer_ramp12e_2020,8
courseC_harvester_loops10_2020,8
courseD_farmer_condLoops8_2020,8
Course F: Artist Project_2020,8
courseD_maze_intro5c_2020,8
ramp_artist_loops5_2020,8
courseA_collector_loops_challenge2kp_2020,7
courseD_maze_ramp5c_2020,7
courseE_artist_functions3_2020,7
courseF_artist_for7_2020,7
courseF_artist_variables9_2020,7
courseF_bee_for10_2020,7
courseD_artist_nestedLoops_challenge2_2020,7
courseF_artist_variablesFP_2020,7
courseD_artist_nestedLoops4_2020,7
courseC_maze_programming7_2020,7
courseC_maze_debugging_challenge2_2020,7
Overworld Avoid Monsters_2020,7
courseF_artist_for1_2020,7
courseC_artist_prog8_2020,7
courseF_EOC_2020,7
courseB_artist_loops7_2020,7
courseD_artist_nestedLoops8_2020,7
courseD_bee_nestedLoops7_2020,7
courseC_starWars_loops9_2020,7
CourseD_EOC_artist,7
courseC_artist_prog_challenge2a_2020,7
courseF_bee_for8_2020,6
courseD_maze_ramp5b_2020,6
courseD_artist_nestedLoops10_2020,6
courseC_maze_programming9_2020,6
courseC_harvester_loops8_2020,6
courseF_artist_for9_2020,6
courseC_flappy_events8_2020,6
courseD_artist_project3_2020,6
courseB_artist_loops10_2020,6
courseD_bee_nestedLoops8_2020,6
courseD_bounce_events7s_2020,6
courseC_starWars_loops10_2020,6
courseF_bee_for5_2020,6
courseA_artist_loops1_2020,6
courseC_starWars_loops6_2020,6
courseC_maze_programming_challenge2_2020,6
Underground Mining Coal_2020,6
Overworld Plant Crops_2020,6
courseE_artist_functions_challenge2_2020,6
behaviors 5_2020,6
courseC_maze_programming_challenge1_2020,6
courseD_farmer_condLoops4_2020,6
courseD_bounce_events5s_2020,6
courseD_artist_project1_2020,6
courseC_artist_loops1a_2020,6
courseB_maze_seq_challenge1_2020,6
courseD_farmer_condLoops3_2020,6
courseB_playlab_events7_2020,6
Overworld Powered Minecart_2020,6
courseA_artist_loops_challenge2a_2020,6
courseC_harvester_loops11_2020,6
courseD_collector_debugging8a_2020,6
courseF_artist_variables10_2020,6
courseD_bee_nestedLoops1_2020,6
courseD_collector_debugging9a_2020,6
courseF_bee_variables_4_2020,6
courseC_maze_debugging_challenge1_2020,6
courseC_artist_loops8a_2020,6
courseE_farmer_ramp12c_2020,6
courseD_artist_project1a_2020,6
Overworld House Frame Chosen_2020,6
courseC_harvester_loops7_2020,6
ramp_artist_loops4_2020,6
courseD_collector_debugging4a_2020,6
courseB_playlab_events3_2020,6
courseC_maze_programming6_2020,6
courseD_bee_conditionals8_2020,6
courseD_iceage_loops10_2020,6
courseB_maze_seq_challenge2_2020,5
courseC_collector_prog_challenge1_2020,5
courseB_artist_loops1_2020,5
courseC_harvester_loops3_2020,5
courseF_bee_for11_2020,5
Dance Party 5_2020,5
courseD_bee_conditionals6_2020,5
courseB_playlab_events_challenge2_2020,5
Dance Party 2_2020,5
courseC_maze_debugging5_2020,5
courseD_artist_binary5_2020,5
courseC_maze_debugging6_2020,5
courseD_farmer_while9_2020,5
courseC_maze_debugging7_2020,5
courseD_bounce_events6s_2020,5
courseF_artist_variables7_2020,5
courseC_maze_programming4_2020,5
courseA_collector_loops9_2020,5
courseC19_playLab_EOC3_2020,5
courseA_artist_loops12_2020,5
Dance Party 6_2020,5
courseD_farmer_while8_2020,5
courseD_bee_nestedLoops1a_2020,5
courseA_artist_loops8_2020,5
grade5_artist_variables_triangles1_2020,5
courseF_artist_for3_2020,5
courseD_maze_nestedLoops3_2020,5
courseE_artist_functionsProj_2020,5
courseD_artist_binary8_2020,5
courseF_artist_for_challenge2_2020,5
behaviors 3a_2020,5
courseD_artist_nestedLoops5_2020,5
spritelab_extras_repeat,5
courseD_artist_project2_2020,5
courseA_playLab_events3_2020,5
ramp_artist_loops2_2020,5
courseD_collector_debugging1a_2020,5
courseC_artist_loops3a_2020,4
courseE_artist_functions8b_2020,4
courseB_artist_loops8_2020,4
courseC_artist_loops7a_2020,4
courseF_artist_variables_challenge2_2020,4
courseD_iceage_loops9_2020,4
courseE_artist_functions_challenge1_2020,4
Underground Avoiding Lava_2020,4
courseC_harvester_loops4_2020,4
courseC_artist_prog4_2020,4
ramp_artist_loops7_2020,4
CourseD_Dance_2020_05,4
courseC19_playLab_EOC1_2020,4
courseE_aboutme_4_2020,4
courseD_artist_project3a_2020,4
courseA_playlab_events_challenge1_2020,4
courseA_collector_loops_challenge1_2020,4
courseC_artist_loops2a_2020,4
courseB_starWars_prog8_2020,4
courseD_bee_conditionals7_2020,4
courseF_bee_for4_2020,4
courseE_artist_functions8a_2020,4
courseD_artist_project4a_2020,4
courseD_artist_project4_2020,4
courseC_maze_programming8_2020,4
courseD_bee_conditionals3_2020,4
courseC_collector_prog4_2020,4
courseE_farmer_functions7a1_2020,4
courseF_artist_for6_2020,4
courseC_artist_loops1b_2020,4
courseC_collector_prog1_2020,4
courseD_farmer_condLoops1_2020,4
courseC_PlayLab_events4_2020,4
courseC_collector_prog5_2020,4
courseD_artist_nestedLoops2_2020,4
