framework,parent,name,category,description,type
ai4k12-2021,,Perception,BI-1,Computers perceive the world using sensors,Big Idea
ai4k12-2021,,Representation and Reasoning,BI-2,Agents maintain representations of the world and use them for reasoning,Big Idea
ai4k12-2021,,Learning,BI-3,Computers can learn from data,Big Idea
ai4k12-2021,,Natural Interaction,BI-4,Intelligent agents require many kinds of knowledge to interact naturally with humans,Big Idea
ai4k12-2021,,Societal Impact,BI-5,AI can impact society in both positive and negative ways,Big Idea
ai4k12-2021,BI-3,Nature of Learning - humans vs machines,3-A-i,Nature of Learning - humans vs machines,Concept
ai4k12-2021,BI-3,Nature of Learning - finding patterns in data,3-A-ii,Nature of Learning - finding patterns in data,Concept
ai4k12-2021,BI-3,Nature of Learning - training a model,3-A-iii,Nature of Learning - training a model,Concept
ai4k12-2021,BI-3,Nature of Learning - constructinv vs using a reasoner,3-A-iv,Nature of Learning - constructinv vs using a reasoner,Concept
ai4k12-2021,BI-3,Nature of Learning - adjusting internal representations,3-A-v,Nature of Learning - adjusting internal representations,Concept
ai4k12-2021,BI-3,Nature of Learning - learning from experience,3-A-vi,Nature of Learning - learning from experience,Concept
ai4k12-2021,BI-3,Neural Networks - structure of a neural network,3-B-i,Neural Networks - structure of a neural network,Concept
ai4k12-2021,BI-3,Neural Networks - weight adjustment,3-B-ii,Neural Networks - weight adjustment,Concept
ai4k12-2021,BI-3,Datasets - feature sets,3-C-i,Datasets - feature sets,Concept
ai4k12-2021,BI-3,Datasets - large datasets,3-C-ii,Datasets - large datasets,Concept
ai4k12-2021,BI-3,Datasets - bias,3-C-iii,Datasets - bias,Concept
