framework,category,standard,description
csa,MOD-1.A,MOD-1.A.1,System.out.print and System.out.println display information on the computer monitor.
csa,MOD-1.A,MOD-1.A.2,"System.out.println moves the cursor to a new line after the information has been displayed, while System.out.print does not."
csa,MOD-1.B,MOD-1.B.1,An object is a specific instance of a class with defined attributes.
csa,MOD-1.B,MOD-1.B.2,"A class is the formal implementation, or blueprint, of the attributes and behaviors of an object."
csa,MOD-1.C,MOD-1.C.1,A signature consists of the constructor name and the parameter list.
csa,MOD-1.C,MOD-1.C.2,"The parameter list, in the header of a constructor, lists the types of the values that are passed and their variable names. These are often referred to as formal parameters."
csa,MOD-1.C,MOD-1.C.3,A parameter is a value that is passed into a constructor. These are often referred to as actual parameters.
csa,MOD-1.C,MOD-1.C.4,Constructors are said to be overloaded when there are multiple constructors with the same name but a different signature.
csa,MOD-1.C,MOD-1.C.5,The actual parameters passed to a constructor must be compatible with the types identified in the formal parameter list.
csa,MOD-1.C,MOD-1.C.6,Parameters are passed using call by value. Call by value initializes the formal parameters with copies of the actual parameters.
csa,MOD-1.D,MOD-1.D.1,Every object is created using the keyword new followed by a call to one of the class’s constructors.
csa,MOD-1.D,MOD-1.D.2,A class contains constructors that are invoked to create objects. They have the same name as the class.
csa,MOD-1.D,MOD-1.D.3,Existing classes and class libraries can be utilized as appropriate to create objects.
csa,MOD-1.D,MOD-1.D.4,Parameters allow values to be passed to the constructor to establish the initial state of the object.
csa,MOD-1.E,MOD-1.E.1,An object’s behavior refers to what the object can do (or what can be done to it) and is defined by methods.
csa,MOD-1.E,MOD-1.E.2,Procedural abstraction allows a programmer to use a method by knowing what the method does even if they do not know how the method was written.
csa,MOD-1.E,MOD-1.E.3,A method signature for a method without parameters consists of the method name and an empty parameter list.
csa,MOD-1.E,MOD-1.E.4,"A method or constructor call interrupts the sequential execution of statements, causing the program to first execute the statements in the method or constructor before continuing. Once the last statement in the method or constructor has executed or a return statement is executed, flow of control is returned to the point immediately following where the method or constructor was called."
csa,MOD-1.E,MOD-1.E.5,Non-static methods are called through objects of the class.
csa,MOD-1.E,MOD-1.E.6,The dot operator is used along with the object name to call non-static methods.
csa,MOD-1.E,MOD-1.E.7,Void methods do not have return values and are therefore not called as part of an expression.
csa,MOD-1.E,MOD-1.E.8,Using a null reference to call a method or access an instance variable causes a NullPointerException to be thrown.
csa,MOD-1.F,MOD-1.F.1,A method signature for a method with parameters consists of the method name and the ordered list of parameter types.
csa,MOD-1.F,MOD-1.F.2,Values provided in the parameter list need to correspond to the order and type in the method signature.
csa,MOD-1.F,MOD-1.F.3,Methods are said to be overloaded when there are multiple methods with the same name but a different signature.
csa,MOD-1.G,MOD-1.G.1,"Non-void methods return a value that is the same type as the return type in the signature. To use the return value when calling a non-void method, it must be stored in a variable or used as part of an expression."
csa,MOD-1.H,MOD-1.H.1,Static methods are called using the dot operator along with the class name unless they are defined in the enclosing class.
csa,MOD-2.A,MOD-2.A.1,"The keywords public and private affect the access of classes, data, constructors, and methods."
csa,MOD-2.A,MOD-2.A.2,"The keyword private restricts access to the declaring class, while the keyword public allows access from classes outside the declaring class."
csa,MOD-2.A,MOD-2.A.3,Classes are designated public.
csa,MOD-2.A,MOD-2.A.4,"Access to attributes should be kept internal to the class. Therefore, instance variables are designated as private."
csa,MOD-2.A,MOD-2.A.5,Constructors are designated public.
csa,MOD-2.A,MOD-2.A.6,"Access to behaviors can be internal or external to the class. Therefore, methods can be designated as either public or private."
csa,MOD-2.B,MOD-2.B.1,An object’s state refers to its attributes and their values at a given time and is defined by instance variables belonging to the object. This creates a “has-a” relationship between the object and its instance variables.
csa,MOD-2.B,MOD-2.B.2,"Constructors are used to set the initial state of an object, which should include initial values for all instance variables."
csa,MOD-2.B,MOD-2.B.3,Constructor parameters are local variables to the constructor and provide data to initialize instance variables.
csa,MOD-2.B,MOD-2.B.4,"When a mutable object is a constructor parameter, the instance variable should be initialized with a copy of the referenced object. In this way, the instance variable is not an alias of the original object, and methods are prevented from modifying the state of the original object."
