framework,category,standard,description
ccmath,APR,A.APR.1,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
ccmath,APR,A.APR.2,"Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x – a is p(a), so p(a) = 0 if and only if (x – a) is a factor of p(x)."
ccmath,APR,A.APR.3,"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
ccmath,APR,A.APR.4,"Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x2 + y2)2 = (x2 – y2)2 + (2xy)2 can be used to generate Pythagorean triples."
ccmath,APR,A.APR.5,"(+) Know and apply the Binomial Theorem for the expansion of (x + y)n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal’s Triangle.1"
ccmath,APR,A.APR.6,"Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more "
ccmath,APR,A.APR.7,"(+) Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."
ccmath,BF,F.BF.1,Write a function that describes a relationship between two quantities.
ccmath,BF,F.BF.1.a,"Determine an explicit expression, a recursive process, or steps for calculation from a context."
ccmath,BF,F.BF.1.b,"Combine standard function types using arithmetic operations. For example, build a function that models the temperature of a cooling body by adding a constant function to a decaying exponential, and relate these functions to the model."
ccmath,BF,F.BF.1.c,"(+) Compose functions. For example, if T(y) is the temperature in the atmosphere as a function of height, and h(t) is the height of a weather balloon as a function of time, then T(h(t)) is the temperature at the location of the weather balloon as a functi"
ccmath,BF,F.BF.2,"Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.★"
ccmath,BF,F.BF.3,"Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on "
ccmath,BF,F.BF.4,Find inverse functions.
ccmath,BF,F.BF.4.a,"Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse. For example, f(x) =2 x3 or f(x) = (x+1)/(x–1) for x ≠ 1."
ccmath,BF,F.BF.4.b,(+) Verify by composition that one function is the inverse of another.
ccmath,BF,F.BF.4.c,"(+) Read values of an inverse function from a graph or a table, given that the function has an inverse."
ccmath,BF,F.BF.4.d,(+) Produce an invertible function from a non-invertible function by restricting the domain.
ccmath,BF,F.BF.5,(+) Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents.
ccmath,C,G.C.1,Prove that all circles are similar.
ccmath,C,G.C.2,"Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the t"
