category,gradeband,name,standard,description,framework
3-A-i,K-2,Describe and provide examples of how people learn and how computers learn.,3-A-i.K-2,Describe and provide examples of how people learn and how computers learn.,ai4k12-2021
3-A-i,3-5,Differentiate between how people learn and how computers learn.,3-A-i.3-5,Differentiate between how people learn and how computers learn.,ai4k12-2021
3-A-i,6-8,Contrast the unique characteristics of human learning with the ways machine learning systems operate.,3-A-i.6-8,Contrast the unique characteristics of human learning with the ways machine learning systems operate.,ai4k12-2021
3-A-i,9-12,"Define supervised, unsupervised, and reinforcement learning algorithms, and give examples of human learning that are similar to each algorithm.",3-A-i.9-12,"Define supervised, unsupervised, and reinforcement learning algorithms, and give examples of human learning that are similar to each algorithm.",ai4k12-2021
3-A-ii,K-2,Identify patterns in labeled data and determine the features that predict labels.,3-A-ii.K-2,Identify patterns in labeled data and determine the features that predict labels.,ai4k12-2021
3-A-ii,3-5,Model how supervised learning identifies patterns in labeled data.,3-A-ii.3-5,Model how supervised learning identifies patterns in labeled data.,ai4k12-2021
3-A-ii,6-8,Model how unsupervised learning finds patterns in unlabeled data.,3-A-ii.6-8,Model how unsupervised learning finds patterns in unlabeled data.,ai4k12-2021
3-A-ii,9-12,Model how machine learning constructs a reasoner for classifcation or prediction by adjusting the reasoner's parameters (its internal representations).,3-A-ii.9-12,Model how machine learning constructs a reasoner for classifcation or prediction by adjusting the reasoner's parameters (its internal representations).,ai4k12-2021
3-A-iii,K-2,Demonstrate how to train a computer to recognize something,3-A-iii.K-2,Demonstrate how to train a computer to recognize something,ai4k12-2021
3-A-iii,3-5,"Train a classification model using machine learning, and then examine the accuracy of the model on new inputs",3-A-iii.3-5,"Train a classification model using machine learning, and then examine the accuracy of the model on new inputs",ai4k12-2021
3-A-iii,6-8,Train and evaluate a classification or prediction model using machine learning on a tabular dataset,3-A-iii.6-8,Train and evaluate a classification or prediction model using machine learning on a tabular dataset,ai4k12-2021
3-A-ii,9-12,"Use either a supervised or unsupervised learning algorithm to train a model on real world data, then evaluate the results.",3-A-ii.9-12,"Use either a supervised or unsupervised learning algorithm to train a model on real world data, then evaluate the results.",ai4k12-2021
3-A-iv,3-5,Demonstrate how training data are labeled when using a machine learning tool.,3-A-iv.3-5,Demonstrate how training data are labeled when using a machine learning tool.,ai4k12-2021
3-A-iv,6-8,Explain the difference between training and using a reasoning model.,3-A-iv.6-8,Explain the difference between training and using a reasoning model.,ai4k12-2021
3-A-iv,9-12,Illustrate what happens during each of the steps required when using machine learning to construct a classifier or predictor.,3-A-iv.9-12,Illustrate what happens during each of the steps required when using machine learning to construct a classifier or predictor.,ai4k12-2021
3-A-v,3-5,"Analyze a game where one constructs a decision tree, describing the organization of the tree and the learning algorithm used to add nodes",3-A-v.3-5,"Analyze a game where one constructs a decision tree, describing the organization of the tree and the learning algorithm used to add nodes",ai4k12-2021
3-A-v,6-8,Compare how a decision tree learning algorithm works vs. how a neural network learning algorithm works.,3-A-v.6-8,Compare how a decision tree learning algorithm works vs. how a neural network learning algorithm works.,ai4k12-2021
3-A-v,9-12,Describe how various types of machine learning algorithms learn by adjusting their internal representations.,3-A-v.9-12,Describe how various types of machine learning algorithms learn by adjusting their internal representations.,ai4k12-2021
3-A-vi,3-5,"Explain how reinforcement learning allows a computer to learn from experience (i.e., trial and error).",3-A-vi.3-5,"Explain how reinforcement learning allows a computer to learn from experience (i.e., trial and error).",ai4k12-2021
3-A-vi,6-8,Explain the differences between supervised learning and reinforcement learning.,3-A-vi.6-8,Explain the differences between supervised learning and reinforcement learning.,ai4k12-2021
